red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,52,5.100174509128099,104.81889763779527,104.81889763779527,104.81889763779527
104,110,110,54,5.115614170265062,108.85039370078741,108.85039370078741,108.85039370078741
104,110,110,54,5.115614170265062,108.85039370078741,108.85039370078741,108.85039370078741
95,101,101,49,4.91491874936429,98.77165354330708,98.77165354330708,98.77165354330708
94,100,98,48,4.43474185650875,96.75590551181102,96.75590551181102,96.75590551181102
91,97,93,46,4.6184643184098855,92.7244094488189,92.7244094488189,92.7244094488189
94,101,94,48,5.762149634011322,96.75590551181102,96.75590551181102,96.75590551181102
97,103,99,49,4.590186503795277,98.77165354330708,98.77165354330708,98.77165354330708
93,99,97,48,4.38205070768662,96.75590551181102,96.75590551181102,96.75590551181102
90,96,94,46,4.447362314683064,92.7244094488189,92.7244094488189,92.7244094488189
86,92,90,44,4.460614284396219,88.69291338582677,88.69291338582677,88.69291338582677
84,90,88,43,4.467475340354082,86.67716535433071,86.67716535433071,86.67716535433071
87,93,91,45,4.36912807989882,90.70866141732283,90.70866141732283,90.70866141732283
89,95,93,46,4.373269743678809,92.7244094488189,92.7244094488189,92.7244094488189
92,98,96,47,4.4409728038436445,94.74015748031496,94.74015748031496,94.74015748031496
91,96,92,46,3.7719822979039686,92.7244094488189,92.7244094488189,92.7244094488189
81,86,80,41,4.578135856290836,82.64566929133858,82.64566929133858,82.64566929133858
90,95,89,45,4.673040945104523,90.70866141732283,90.70866141732283,90.70866141732283
81,86,80,41,4.578135856290836,82.64566929133858,82.64566929133858,82.64566929133858
74,77,70,37,5.213817446726027,74.58267716535433,74.58267716535433,74.58267716535433
74,75,67,36,6.242133123256172,72.56692913385827,72.56692913385827,72.56692913385827
78,78,68,37,8.166261652412244,74.58267716535433,74.58267716535433,74.58267716535433
79,77,65,37,10.825150916628585,74.58267716535433,74.58267716535433,74.58267716535433
74,74,64,35,8.16741558960696,70.55118110236221,70.55118110236221,70.55118110236221
76,76,66,36,8.166793091111026,72.56692913385827,72.56692913385827,72.56692913385827
75,75,65,36,8.312525741083055,72.56692913385827,72.56692913385827,72.56692913385827
74,74,66,35,6.670978414288716,70.55118110236221,70.55118110236221,70.55118110236221
77,76,72,37,3.8108365282376124,74.58267716535433,74.58267716535433,74.58267716535433
84,84,84,42,1.1456084081557785,84.66141732283464,84.66141732283464,84.66141732283464
98,102,101,50,3.0471627082256565,100.78740157480314,100.78740157480314,100.78740157480314
85,89,88,43,3.1556831141088653,86.67716535433071,86.67716535433071,86.67716535433071
95,99,98,48,3.1091695569509668,96.75590551181102,96.75590551181102,96.75590551181102
88,92,91,45,3.01484330912244,90.70866141732283,90.70866141732283,90.70866141732283
81,86,82,41,3.791655410675068,82.64566929133858,82.64566929133858,82.64566929133858
84,89,83,42,4.692662361832579,84.66141732283464,84.66141732283464,84.66141732283464
80,85,81,41,3.9052101737720832,82.64566929133858,82.64566929133858,82.64566929133858
79,84,80,40,3.796165805355404,80.62992125984252,80.62992125984252,80.62992125984252
100,104,103,51,3.0543163977717374,102.80314960629921,102.80314960629921,102.80314960629921
