red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,1,32.70066258248193,85.33333333333333,85.33333333333333,85.33333333333333
104,110,110,1,39.564293666554114,85.33333333333333,85.33333333333333,85.33333333333333
104,110,110,1,39.564293666554114,85.33333333333333,85.33333333333333,85.33333333333333
95,101,101,1,24.172987679087864,85.33333333333333,85.33333333333333,85.33333333333333
94,100,98,1,21.228911104120886,85.33333333333333,85.33333333333333,85.33333333333333
91,97,93,1,15.066519173319373,85.33333333333333,85.33333333333333,85.33333333333333
94,101,94,1,19.89137166378093,85.33333333333333,85.33333333333333,85.33333333333333
97,103,99,1,25.199206336708315,85.33333333333333,85.33333333333333,85.33333333333333
93,99,97,1,19.536291016123478,85.33333333333333,85.33333333333333,85.33333333333333
90,96,94,1,14.51436070471817,85.33333333333333,85.33333333333333,85.33333333333333
86,92,90,1,8.164965809277266,85.33333333333333,85.33333333333333,85.33333333333333
84,90,88,1,5.537749241945388,85.33333333333333,85.33333333333333,85.33333333333333
87,93,91,1,9.67815409397199,85.33333333333333,85.33333333333333,85.33333333333333
89,95,93,1,12.871156384205223,85.33333333333333,85.33333333333333,85.33333333333333
92,98,96,1,17.85123711866119,85.33333333333333,85.33333333333333,85.33333333333333
91,96,92,1,13.79613472438326,85.33333333333333,85.33333333333333,85.33333333333333
81,86,80,1,6.90410505906932,85.33333333333333,85.33333333333333,85.33333333333333
90,95,89,1,11.343133018115712,85.33333333333333,85.33333333333333,85.33333333333333
81,86,80,1,6.90410505906932,85.33333333333333,85.33333333333333,85.33333333333333
74,77,70,1,20.808652046684802,85.33333333333333,85.33333333333333,85.33333333333333
74,75,67,1,23.902580055996737,85.33333333333333,85.33333333333333,85.33333333333333
78,78,68,1,20.199009876724148,85.33333333333333,85.33333333333333,85.33333333333333
79,77,65,1,22.869193252058537,85.33333333333333,85.33333333333333,85.33333333333333
74,74,64,1,26.683328128252658,85.33333333333333,85.33333333333333,85.33333333333333
76,76,66,1,23.409399821439244,85.33333333333333,85.33333333333333,85.33333333333333
75,75,65,1,25.03996805109782,85.33333333333333,85.33333333333333,85.33333333333333
74,74,66,1,25.11307760244981,85.33333333333333,85.33333333333333,85.33333333333333
77,76,72,1,18.284784202536628,85.33333333333333,85.33333333333333,85.33333333333333
84,84,84,1,2.309401076758495,85.33333333333333,85.33333333333333,85.33333333333333
98,102,101,1,26.14702022538452,85.33333333333333,85.33333333333333,85.33333333333333
85,89,88,1,4.546060565661958,85.33333333333333,85.33333333333333,85.33333333333333
95,99,98,1,20.992061991778392,85.33333333333333,85.33333333333333,85.33333333333333
88,92,91,1,9.146948489341503,85.33333333333333,85.33333333333333,85.33333333333333
81,86,82,1,5.507570547286096,85.33333333333333,85.33333333333333,85.33333333333333
84,89,83,1,4.546060565661952,85.33333333333333,85.33333333333333,85.33333333333333
80,85,81,1,6.879922480183424,85.33333333333333,85.33333333333333,85.33333333333333
79,84,80,1,8.386497083606075,85.33333333333333,85.33333333333333,85.33333333333333
100,104,103,1,29.59166549328826,85.33333333333333,85.33333333333333,85.33333333333333
92,94,93,1,13.354150416006762,85.33333333333333,85.33333333333333,85.33333333333333
75,75,73,1,19.12241267901795,85.33333333333333,85.33333333333333,85.33333333333333
78,75,70,1,19.891371663780916,85.33333333333333,85.33333333333333,85.33333333333333
77,74,65,1,24.725155880870254,85.33333333333333,85.33333333333333,85.33333333333333
75,72,63,1,27.988092706244434,85.33333333333333,85.33333333333333,85.33333333333333
74,71,62,1,29.636688973860306,85.33333333333333,85.33333333333333,85.33333333333333
73,70,61,1,31.294301930756227,85.33333333333333,85.33333333333333,85.33333333333333
