red,green,blue,red_temp,green_temp,blue_temp
0.0,0.0,0.0,0.0,0.0,0.0
2.015748031496063,2.015748031496063,2.015748031496063,0.0,0.0,0.0
4.031496062992126,4.031496062992126,4.031496062992126,0.0,0.0,0.0
6.047244094488189,6.047244094488189,6.047244094488189,0.0,0.0,0.0
8.062992125984252,8.062992125984252,8.062992125984252,0.0,0.0,0.0
10.078740157480315,10.078740157480315,10.078740157480315,0.0,0.0,0.0
12.094488188976378,12.094488188976378,12.094488188976378,0.0,0.0,0.0
14.11023622047244,14.11023622047244,14.11023622047244,0.0,0.0,0.0
16.125984251968504,16.125984251968504,16.125984251968504,0.0,0.0,0.0
18.141732283464567,18.141732283464567,18.141732283464567,0.0,0.0,0.0
20.15748031496063,20.15748031496063,20.15748031496063,0.0,0.0,0.0
22.173228346456693,22.173228346456693,22.173228346456693,0.0,0.0,0.0
24.188976377952756,24.188976377952756,24.188976377952756,0.0,0.0,0.0
26.20472440944882,26.20472440944882,26.20472440944882,0.0,0.0,0.0
28.22047244094488,28.22047244094488,28.22047244094488,0.0,0.0,0.0
30.236220472440944,30.236220472440944,30.236220472440944,0.0,0.0,0.0
32.25196850393701,32.25196850393701,32.25196850393701,0.0,0.0,0.0
34.26771653543307,34.26771653543307,34.26771653543307,0.0,0.0,0.0
36.28346456692913,36.28346456692913,36.28346456692913,0.0,0.0,0.0
38.2992125984252,38.2992125984252,38.2992125984252,0.0,0.0,0.0
40.31496062992126,40.31496062992126,40.31496062992126,0.0,0.0,0.0
42.33070866141732,42.33070866141732,42.33070866141732,0.0,0.0,0.0
44.346456692913385,44.346456692913385,44.346456692913385,0.0,0.0,0.0
46.36220472440945,46.36220472440945,46.36220472440945,0.0,0.0,0.0
48.37795275590551,48.37795275590551,48.37795275590551,0.0,0.0,0.0
50.39370078740157,50.39370078740157,50.39370078740157,0.0,0.0,0.0
52.40944881889764,52.40944881889764,52.40944881889764,0.0,0.0,0.0
54.425196850393704,54.425196850393704,54.425196850393704,0.0,0.0,0.0
56.44094488188976,56.44094488188976,56.44094488188976,0.0,0.0,0.0
7277.2433070865045,6804.893307086539,5858.5433070865665,7218.786614173118,6746.4366141731525,5800.08661417318
5579.028346456572,5932.1783464565715,4255.078346456618,0.0,0.0,0.0
1444.4251968503902,1409.850196850393,654.537696850392,0.0,0.0,0.0
2487.8305314960658,2916.19053149603,2830.3405314960387,0.0,0.0,0.0
2456.2810305118473,892.4421555117917,699.3730305118215,0.0,0.0,0.0
810.2369685039362,-123.44153149606335,783.9879685039349,700.2582283464558,-211.6302716535437,768.0692283464546
126.36535433070864,103.26535433070866,-22.58464566929129,0.0,0.0,0.0
150.5011811023624,132.2511811023622,-69.24881889763758,0.0,0.0,0.0
139.14448818897654,140.09448818897658,-63.75551181102328,0.0,0.0,0.0
120.27834645669276,149.77834645669284,-55.4216535433072,0.0,0.0,0.0
110.51259842519679,144.76259842519684,-34.98740157480317,0.0,0.0,0.0
102.19960629921262,139.3496062992126,-13.600393700787237,0.0,0.0,0.0
279.9825984251944,-286.3886515748062,3370.5338484252084,180.70622047243845,-402.7525295275622,3341.1449704724523
-1417.6744842519292,4180.534390747986,3079.9687657479994,0.0,0.0,0.0
-221.03088582676583,1332.129114173212,11349.079114173182,0.0,0.0,0.0
621.4807480314962,40.29074803149565,718.2407480314952,0.0,0.0,0.0
-311.0019685039384,1383.328031496062,751.7180314960591,0.0,0.0,0.0
159.8427559055121,663.8627559055133,427.62275590551263,0.0,0.0,0.0
242.31062992125973,30.060629921259803,17.86062992125983,0.0,0.0,0.0
330.1649606299213,-16.935039370078698,-18.285039370078707,0.0,0.0,0.0
435.5507874015747,-52.799212598425186,-84.29921259842507,0.0,0.0,0.0
435.39960629921256,-70.85039370078738,-60.35039370078724,0.0,0.0,0.0
371.3114173228343,-56.53858267716525,-7.438582677165272,0.0,0.0,0.0
347.9374015748031,-38.21259842519679,9.387401574803263,0.0,0.0,0.0
450.8897637795277,-95.2102362204724,-35.06023622047245,0.0,0.0,0.0
471.2023622047243,-100.2476377952758,-46.54763779527585,0.0,0.0,0.0
558.8602362204722,-132.6897637795276,-92.33976377952769,0.0,0.0,0.0
573.5122047244089,-143.88779527559066,-95.23779527559071,0.0,0.0,0.0
272.4905511811024,-13.209448818897584,80.89055118110241,0.0,0.0,0.0
229.75393700787404,-5.4460629921258885,124.05393700787408,0.0,0.0,0.0
235.50236220472436,-43.24763779527565,159.25236220472436,0.0,0.0,0.0
194.3527559055118,2.852755905511799,160.55275590551182,0.0,0.0,0.0
206.05393700787403,-5.496062992125999,163.25393700787404,0.0,0.0,0.0
-1742.9252755905447,2578.324724409458,865.034724409451,0.0,0.0,0.0
221.24724409448817,5.4972440944882095,153.94724409448818,0.0,0.0,0.0
243.3968503937008,-3.253149606299189,151.1968503937008,0.0,0.0,0.0
240.81653543307092,19.21653543307086,135.7165354330709,0.0,0.0,0.0
265.52244094488196,-8.027559055118019,143.17244094488194,0.0,0.0,0.0
254.09448818897647,-29.205511811023513,182.34448818897647,0.0,0.0,0.0
263.8570866141732,-2.592913385826648,151.6070866141733,0.0,0.0,0.0
252.70826771653537,43.10826771653541,122.00826771653541,0.0,0.0,0.0
256.43818897637794,52.08818897637792,114.6381889763779,0.0,0.0,0.0
265.4917322834645,108.24173228346456,56.39173228346456,0.0,0.0,0.0
272.60393700787404,106.70393700787403,56.90393700787405,0.0,0.0,0.0
-752.2128051181055,203.43594488189285,3525.4071948819264,0.0,0.0,0.0
