red,green,blue,red_shift,green_shift,blue_shift
0.0,0.0,0.0,0,0,0
4.063492063492063,4.063492063492063,4.063492063492063,0,0,0
8.126984126984127,8.126984126984127,8.126984126984127,0,0,0
12.19047619047619,12.19047619047619,12.19047619047619,0,0,0
16.253968253968253,16.253968253968253,16.253968253968253,0,0,0
20.317460317460316,20.317460317460316,20.317460317460316,0,0,0
24.38095238095238,24.38095238095238,24.38095238095238,0,0,0
28.444444444444443,28.444444444444443,28.444444444444443,0,0,0
32.507936507936506,32.507936507936506,32.507936507936506,0,0,0
36.57142857142857,36.57142857142857,36.57142857142857,0,0,0
40.63492063492063,40.63492063492063,40.63492063492063,0,0,0
44.698412698412696,44.698412698412696,44.698412698412696,0,0,0
48.76190476190476,48.76190476190476,48.76190476190476,0,0,0
52.82539682539682,52.82539682539682,52.82539682539682,0,0,0
56.888888888888886,56.888888888888886,56.888888888888886,0,0,0
60.95238095238095,60.95238095238095,60.95238095238095,0,0,0
65.01587301587301,65.01587301587301,65.01587301587301,0,0,0
69.07936507936508,69.07936507936508,69.07936507936508,0,0,0
73.14285714285714,73.14285714285714,73.14285714285714,0,0,0
77.2063492063492,77.2063492063492,77.2063492063492,0,0,0
81.26984126984127,81.26984126984127,81.26984126984127,0,0,0
85.33333333333333,85.33333333333333,85.33333333333333,0,0,0
89.39682539682539,89.39682539682539,89.39682539682539,0,0,0
93.46031746031746,93.46031746031746,93.46031746031746,0,0,0
97.52380952380952,97.52380952380952,97.52380952380952,0,0,0
101.58730158730158,101.58730158730158,101.58730158730158,0,0,0
105.65079365079364,105.65079365079364,105.65079365079364,0,0,0
109.71428571428571,109.71428571428571,109.71428571428571,0,0,0
113.77777777777777,113.77777777777777,113.77777777777777,0,0,0
117.84126984126983,117.84126984126983,117.84126984126983,0,0,0
121.9047619047619,121.9047619047619,121.9047619047619,0,0,0
125.96825396825396,125.96825396825396,125.96825396825396,0,0,0
130.03174603174602,130.03174603174602,130.03174603174602,0,0,0
134.09523809523807,134.09523809523807,134.09523809523807,0,0,0
138.15873015873015,138.15873015873015,138.15873015873015,0,0,0
142.22222222222223,142.22222222222223,142.22222222222223,0,0,0
146.28571428571428,146.28571428571428,146.28571428571428,0,0,0
150.34920634920633,150.34920634920633,150.34920634920633,0,0,0
154.4126984126984,154.4126984126984,154.4126984126984,0,0,0
158.47619047619048,158.47619047619048,158.47619047619048,0,0,0
162.53968253968253,162.53968253968253,162.53968253968253,0,0,0
166.60317460317458,166.60317460317458,166.60317460317458,0,0,0
170.66666666666666,170.66666666666666,170.66666666666666,0,0,0
174.73015873015873,174.73015873015873,174.73015873015873,0,0,0
178.79365079365078,178.79365079365078,178.79365079365078,0,0,0
182.85714285714283,182.85714285714283,182.85714285714283,0,0,0
186.9206349206349,186.9206349206349,186.9206349206349,0,0,0
190.984126984127,190.984126984127,190.984126984127,0,0,0
195.04761904761904,195.04761904761904,195.04761904761904,0,0,0
199.1111111111111,199.1111111111111,199.1111111111111,0,0,0
203.17460317460316,203.17460317460316,203.17460317460316,0,0,0
207.23809523809524,207.23809523809524,207.23809523809524,0,0,0
211.3015873015873,211.3015873015873,211.3015873015873,0,0,0
215.36507936507934,215.36507936507934,215.36507936507934,0,0,0
219.42857142857142,219.42857142857142,219.42857142857142,0,0,0
223.4920634920635,223.4920634920635,223.4920634920635,0,0,0
227.55555555555554,227.55555555555554,227.55555555555554,0,0,0
231.6190476190476,231.6190476190476,231.6190476190476,0,0,0
235.68253968253967,235.68253968253967,235.68253968253967,0,0,0
239.74603174603175,239.74603174603175,239.74603174603175,0,0,0
243.8095238095238,243.8095238095238,243.8095238095238,0,0,0
247.87301587301585,247.87301587301585,247.87301587301585,0,0,0
251.93650793650792,251.93650793650792,251.93650793650792,0,0,0
256.0,256.0,256.0,0,0,0
