red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
,,,0,0,0,0,,,
86.4123727735369,86.58253816793894,81.98600508905852,543361,544431,515528,6288,86.4123727735369,86.58253816793894,81.98600508905852
153.25,88.50348837209302,82.84186046511628,263590,152226,142488,1720,153.25,88.50348837209302,82.84186046511628
140.46174496644295,107.73064876957494,142.4371364653244,313932,240778,318347,2235,140.46174496644295,107.73064876957494,142.4371364653244
196.0413694721826,175.6950784593438,125.86126961483595,549700,492649,352915,2804,196.0413694721826,175.6950784593438,125.86126961483595
219.9970436067997,206.87213599408722,209.54471544715446,297656,279898,283514,1353,219.9970436067997,206.87213599408722,209.54471544715446
,,,0,0,0,0,,,
