red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,0,180.19988901217448,0.0,0.0,0.0
104,110,110,0,187.12562625145708,0.0,0.0,0.0
104,110,110,0,187.12562625145708,0.0,0.0,0.0
95,101,101,0,171.54299752540177,0.0,0.0,0.0
94,100,98,0,168.64163187066237,0.0,0.0,0.0
91,97,93,0,162.29294500994183,0.0,0.0,0.0
94,101,94,0,166.9520889357183,0.0,0.0,0.0
97,103,99,0,172.68178826963774,0.0,0.0,0.0
93,99,97,0,166.910155472937,0.0,0.0,0.0
90,96,94,0,161.71580009386838,0.0,0.0,0.0
86,92,90,0,154.7901805671148,0.0,0.0,0.0
84,90,88,0,151.32745950421557,0.0,0.0,0.0
87,93,91,0,156.52156400956386,0.0,0.0,0.0
89,95,93,0,159.98437423698604,0.0,0.0,0.0
92,98,96,0,165.17869111964777,0.0,0.0,0.0
91,96,92,0,161.1241757155021,0.0,0.0,0.0
81,86,80,0,142.67795905464865,0.0,0.0,0.0
90,95,89,0,158.25928092848142,0.0,0.0,0.0
81,86,80,0,142.67795905464865,0.0,0.0,0.0
74,77,70,0,127.69103335786738,0.0,0.0,0.0
74,75,67,0,124.85992151206888,0.0,0.0,0.0
78,78,68,0,129.5839496234005,0.0,0.0,0.0
79,77,65,0,128.04296154025803,0.0,0.0,0.0
74,74,64,0,122.67028980156523,0.0,0.0,0.0
76,76,66,0,126.1269202034205,0.0,0.0,0.0
75,75,65,0,124.39855304624729,0.0,0.0,0.0
74,74,66,0,123.72550262577235,0.0,0.0,0.0
77,76,72,0,129.9576854210631,0.0,0.0,0.0
84,84,84,0,145.4922678357857,0.0,0.0,0.0
98,102,101,0,173.80736463107655,0.0,0.0,0.0
85,89,88,0,151.2944149663166,0.0,0.0,0.0
95,99,98,0,168.61198059449987,0.0,0.0,0.0
88,92,91,0,156.4896162689397,0.0,0.0,0.0
81,86,82,0,143.80890097626084,0.0,0.0,0.0
84,89,83,0,147.87156589419075,0.0,0.0,0.0
80,85,81,0,142.0774436706967,0.0,0.0,0.0
79,84,80,0,140.34600101178515,0.0,0.0,0.0
100,104,103,0,177.27097901235837,0.0,0.0,0.0
92,94,93,0,161.08693305169106,0.0,0.0,0.0
75,75,73,0,128.75946567146045,0.0,0.0,0.0
78,75,70,0,128.87590930814028,0.0,0.0,0.0
77,74,65,0,125.01999840025594,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
74,71,62,0,119.83738982471205,0.0,0.0,0.0
73,70,61,0,118.11011811017717,0.0,0.0,0.0
70,70,60,0,115.75836902790225,0.0,0.0,0.0
72,74,63,0,120.95040305844375,0.0,0.0,0.0
75,78,67,0,127.27136362905836,0.0,0.0,0.0
70,74,60,0,118.2201336490532,0.0,0.0,0.0
70,73,62,0,118.62967588255478,0.0,0.0,0.0
76,76,68,0,127.18490476467717,0.0,0.0,0.0
74,71,64,0,120.88424214925617,0.0,0.0,0.0
77,74,67,0,126.07140833670417,0.0,0.0,0.0
77,74,65,0,125.01999840025594,0.0,0.0,0.0
72,69,60,0,116.38298844762494,0.0,0.0,0.0
72,72,62,0,119.21409312660982,0.0,0.0,0.0
72,72,62,0,119.21409312660982,0.0,0.0,0.0
72,73,65,0,121.40016474453401,0.0,0.0,0.0
76,77,69,0,128.3199127181748,0.0,0.0,0.0
77,78,70,0,130.04999038831184,0.0,0.0,0.0
75,77,66,0,126.13484847574837,0.0,0.0,0.0
77,78,70,0,130.04999038831184,0.0,0.0,0.0
78,83,76,0,136.92698784388708,0.0,0.0,0.0
82,91,86,0,149.66963619919707,0.0,0.0,0.0
86,98,98,0,163.10732662881824,0.0,0.0,0.0
103,109,105,0,183.07102446864715,0.0,0.0,0.0
88,88,80,0,147.94593607125543,0.0,0.0,0.0
75,71,60,0,119.44036168732913,0.0,0.0,0.0
76,69,59,0,118.39763511151733,0.0,0.0,0.0
73,73,65,0,121.99590157050359,0.0,0.0,0.0
74,76,71,0,127.64403628842203,0.0,0.0,0.0
79,80,74,0,134.59940564504734,0.0,0.0,0.0
75,76,70,0,127.67536959022284,0.0,0.0,0.0
77,78,72,0,131.13733259449805,0.0,0.0,0.0
85,86,80,0,144.98620624045586,0.0,0.0,0.0
82,84,81,0,142.6218777046495,0.0,0.0,0.0
88,94,94,0,159.42396306703708,0.0,0.0,0.0
96,102,102,0,173.2743489383238,0.0,0.0,0.0
96,100,103,0,172.69916039170545,0.0,0.0,0.0
96,95,101,0,168.6475615003075,0.0,0.0,0.0
93,92,97,0,162.85576440519384,0.0,0.0,0.0
89,89,89,0,154.1525218736301,0.0,0.0,0.0
78,78,76,0,133.9552163971228,0.0,0.0,0.0
88,87,85,0,150.1266132302997,0.0,0.0,0.0
80,79,75,0,135.15176654413364,0.0,0.0,0.0
79,79,69,0,131.31260411704582,0.0,0.0,0.0
77,77,69,0,128.9147004805891,0.0,0.0,0.0
78,75,70,0,128.87590930814028,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
68,64,53,0,107.37318100903968,0.0,0.0,0.0
76,69,61,0,119.40686747419514,0.0,0.0,0.0
75,66,57,0,115.02173707608489,0.0,0.0,0.0
72,68,59,0,115.27792503337315,0.0,0.0,0.0
78,76,64,0,126.31706139710502,0.0,0.0,0.0
70,70,60,0,115.75836902790225,0.0,0.0,0.0
75,76,71,0,128.22636234409833,0.0,0.0,0.0
68,75,67,0,121.40016474453401,0.0,0.0,0.0
70,82,72,0,129.64567096513483,0.0,0.0,0.0
76,87,79,0,139.94999106823838,0.0,0.0,0.0
77,87,86,0,144.54757002454244,0.0,0.0,0.0
97,106,103,0,176.78800864312035,0.0,0.0,0.0
82,87,80,0,143.85061696079026,0.0,0.0,0.0
79,84,77,0,138.6578522839583,0.0,0.0,0.0
90,92,87,0,155.3479964466874,0.0,0.0,0.0
100,101,93,0,169.85287751463028,0.0,0.0,0.0
93,93,81,0,154.463587942272,0.0,0.0,0.0
78,78,68,0,129.5839496234005,0.0,0.0,0.0
69,72,61,0,116.90166808048549,0.0,0.0,0.0
69,73,59,0,116.49463506960309,0.0,0.0,0.0
69,73,58,0,115.99137898999219,0.0,0.0,0.0
85,91,77,0,146.40696704733693,0.0,0.0,0.0
75,77,64,0,125.09996003196804,0.0,0.0,0.0
76,76,64,0,125.09196616889511,0.0,0.0,0.0
74,74,62,0,121.63880959627976,0.0,0.0,0.0
77,75,63,0,124.591331961738,0.0,0.0,0.0
78,76,64,0,126.31706139710502,0.0,0.0,0.0
80,76,64,0,127.5617497528158,0.0,0.0,0.0
81,78,61,0,127.92966817747946,0.0,0.0,0.0
76,73,54,0,118.41030360572512,0.0,0.0,0.0
97,103,103,0,175.00571419242286,0.0,0.0,0.0
95,101,101,0,171.54299752540177,0.0,0.0,0.0
99,105,105,0,178.46848461283017,0.0,0.0,0.0
99,105,105,0,178.46848461283017,0.0,0.0,0.0
94,100,100,0,169.81166037701888,0.0,0.0,0.0
90,96,94,0,161.71580009386838,0.0,0.0,0.0
91,97,95,0,163.44723919356974,0.0,0.0,0.0
96,102,100,0,172.10461934532728,0.0,0.0,0.0
92,98,96,0,165.17869111964777,0.0,0.0,0.0
94,100,98,0,168.64163187066237,0.0,0.0,0.0
85,91,89,0,153.05881222588917,0.0,0.0,0.0
86,92,90,0,154.7901805671148,0.0,0.0,0.0
89,95,93,0,159.98437423698604,0.0,0.0,0.0
88,94,94,0,159.42396306703708,0.0,0.0,0.0
84,90,88,0,151.32745950421557,0.0,0.0,0.0
91,96,92,0,161.1241757155021,0.0,0.0,0.0
89,94,88,0,156.5279527752152,0.0,0.0,0.0
83,88,82,0,146.14034350582318,0.0,0.0,0.0
78,83,77,0,137.48454458592792,0.0,0.0,0.0
76,79,72,0,131.15258289488622,0.0,0.0,0.0
72,73,65,0,121.40016474453401,0.0,0.0,0.0
76,76,66,0,126.1269202034205,0.0,0.0,0.0
75,73,61,0,121.14041439585718,0.0,0.0,0.0
74,74,64,0,122.67028980156523,0.0,0.0,0.0
77,77,67,0,127.85538705897378,0.0,0.0,0.0
80,80,70,0,133.04134695650072,0.0,0.0,0.0
75,75,65,0,124.39855304624729,0.0,0.0,0.0
76,75,70,0,127.67536959022284,0.0,0.0,0.0
87,87,85,0,149.54263606075693,0.0,0.0,0.0
88,93,89,0,155.92947123619703,0.0,0.0,0.0
81,85,84,0,144.3675863897433,0.0,0.0,0.0
86,90,89,0,153.0261415575783,0.0,0.0,0.0
87,91,92,0,155.92947123619703,0.0,0.0,0.0
82,86,85,0,146.0992813124007,0.0,0.0,0.0
84,89,83,0,147.87156589419075,0.0,0.0,0.0
79,85,75,0,138.17018491700733,0.0,0.0,0.0
85,87,82,0,146.69014963520897,0.0,0.0,0.0
104,106,103,0,180.7235457819484,0.0,0.0,0.0
91,91,89,0,156.4704444935209,0.0,0.0,0.0
76,75,70,0,127.67536959022284,0.0,0.0,0.0
77,74,67,0,126.07140833670417,0.0,0.0,0.0
76,73,64,0,123.2923355282071,0.0,0.0,0.0
76,74,62,0,122.86578042726136,0.0,0.0,0.0
76,74,62,0,122.86578042726136,0.0,0.0,0.0
76,73,64,0,123.2923355282071,0.0,0.0,0.0
72,70,58,0,115.96551211459379,0.0,0.0,0.0
73,73,61,0,119.91246807567593,0.0,0.0,0.0
84,88,74,0,142.3938200906205,0.0,0.0,0.0
87,93,81,0,150.9271347372632,0.0,0.0,0.0
73,79,67,0,126.72410978184064,0.0,0.0,0.0
75,76,68,0,126.58988901172162,0.0,0.0,0.0
75,72,65,0,122.61321299109652,0.0,0.0,0.0
77,74,67,0,126.07140833670417,0.0,0.0,0.0
73,70,61,0,118.11011811017717,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
73,70,61,0,118.11011811017717,0.0,0.0,0.0
72,72,62,0,119.21409312660982,0.0,0.0,0.0
73,74,66,0,123.13001258832064,0.0,0.0,0.0
75,76,68,0,126.58988901172162,0.0,0.0,0.0
75,76,68,0,126.58988901172162,0.0,0.0,0.0
77,79,68,0,129.59166639873106,0.0,0.0,0.0
77,80,69,0,130.728726758888,0.0,0.0,0.0
79,84,77,0,138.6578522839583,0.0,0.0,0.0
79,88,85,0,145.6365338780074,0.0,0.0,0.0
90,102,102,0,170.02352778365704,0.0,0.0,0.0
104,110,106,0,184.80259738434415,0.0,0.0,0.0
101,104,97,0,174.43050191981905,0.0,0.0,0.0
84,81,72,0,137.11673858431726,0.0,0.0,0.0
73,69,58,0,115.99137898999219,0.0,0.0,0.0
70,70,62,0,116.8075340035907,0.0,0.0,0.0
74,76,71,0,127.64403628842203,0.0,0.0,0.0
71,72,66,0,120.75181158061356,0.0,0.0,0.0
75,76,70,0,127.67536959022284,0.0,0.0,0.0
75,76,70,0,127.67536959022284,0.0,0.0,0.0
82,83,77,0,139.79270367225894,0.0,0.0,0.0
83,85,82,0,144.35373219975992,0.0,0.0,0.0
88,94,92,0,158.25296205758679,0.0,0.0,0.0
97,103,103,0,175.00571419242286,0.0,0.0,0.0
102,106,109,0,183.08741081789321,0.0,0.0,0.0
94,93,98,0,164.58736281987143,0.0,0.0,0.0
84,84,86,0,146.65606022254929,0.0,0.0,0.0
90,90,90,0,155.88457268119896,0.0,0.0,0.0
80,80,78,0,137.41906709041507,0.0,0.0,0.0
78,77,73,0,131.68902763708144,0.0,0.0,0.0
77,76,72,0,129.9576854210631,0.0,0.0,0.0
76,76,66,0,126.1269202034205,0.0,0.0,0.0
75,75,67,0,125.45517127643643,0.0,0.0,0.0
77,74,69,0,127.14558584551806,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
72,68,57,0,114.26723064816089,0.0,0.0,0.0
76,72,63,0,122.18428704215611,0.0,0.0,0.0
73,69,58,0,115.99137898999219,0.0,0.0,0.0
76,71,65,0,122.64583156389784,0.0,0.0,0.0
74,74,62,0,121.63880959627976,0.0,0.0,0.0
77,79,68,0,129.59166639873106,0.0,0.0,0.0
86,88,83,0,148.42169652715873,0.0,0.0,0.0
82,89,81,0,145.62280041257276,0.0,0.0,0.0
89,99,90,0,160.69225245792032,0.0,0.0,0.0
81,91,83,0,147.4143819306651,0.0,0.0,0.0
81,90,85,0,147.9391766909631,0.0,0.0,0.0
80,86,82,0,143.24803663575986,0.0,0.0,0.0
76,79,72,0,131.15258289488622,0.0,0.0,0.0
77,80,71,0,131.79529581893277,0.0,0.0,0.0
73,78,71,0,128.27314605949292,0.0,0.0,0.0
76,79,70,0,130.06536818077285,0.0,0.0,0.0
68,70,57,0,113.01769772916099,0.0,0.0,0.0
67,70,59,0,113.44602240713422,0.0,0.0,0.0
80,80,70,0,133.04134695650072,0.0,0.0,0.0
79,76,67,0,128.47567863218313,0.0,0.0,0.0
77,75,63,0,124.591331961738,0.0,0.0,0.0
78,75,66,0,126.74778104566565,0.0,0.0,0.0
81,81,71,0,134.77017474204,0.0,0.0,0.0
84,84,74,0,139.95713629536723,0.0,0.0,0.0
77,77,67,0,127.85538705897378,0.0,0.0,0.0
71,73,62,0,119.22248110151038,0.0,0.0,0.0
73,73,61,0,119.91246807567593,0.0,0.0,0.0
74,75,61,0,121.74563647211345,0.0,0.0,0.0
77,75,60,0,123.10158406779338,0.0,0.0,0.0
75,74,56,0,119.31890043073645,0.0,0.0,0.0
95,101,101,0,171.54299752540177,0.0,0.0,0.0
88,94,94,0,159.42396306703708,0.0,0.0,0.0
88,94,94,0,159.42396306703708,0.0,0.0,0.0
100,106,106,0,180.19988901217448,0.0,0.0,0.0
98,103,106,0,177.33865906789754,0.0,0.0,0.0
98,103,106,0,177.33865906789754,0.0,0.0,0.0
94,100,100,0,169.81166037701888,0.0,0.0,0.0
92,98,98,0,166.34903065542642,0.0,0.0,0.0
88,94,92,0,158.25296205758679,0.0,0.0,0.0
96,102,100,0,172.10461934532728,0.0,0.0,0.0
87,93,91,0,156.52156400956386,0.0,0.0,0.0
87,93,91,0,156.52156400956386,0.0,0.0,0.0
85,91,89,0,153.05881222588917,0.0,0.0,0.0
92,98,96,0,165.17869111964777,0.0,0.0,0.0
85,91,89,0,153.05881222588917,0.0,0.0,0.0
87,92,88,0,154.19792475905763,0.0,0.0,0.0
91,96,90,0,159.99062472532572,0.0,0.0,0.0
83,88,82,0,146.14034350582318,0.0,0.0,0.0
78,83,77,0,137.48454458592792,0.0,0.0,0.0
85,88,81,0,146.7310464761974,0.0,0.0,0.0
78,79,71,0,131.78011989674314,0.0,0.0,0.0
73,73,63,0,120.94213492410327,0.0,0.0,0.0
76,74,62,0,122.86578042726136,0.0,0.0,0.0
75,75,65,0,124.39855304624729,0.0,0.0,0.0
73,73,63,0,120.94213492410327,0.0,0.0,0.0
74,74,62,0,121.63880959627976,0.0,0.0,0.0
76,76,66,0,126.1269202034205,0.0,0.0,0.0
75,75,65,0,124.39855304624729,0.0,0.0,0.0
76,77,71,0,129.406336784564,0.0,0.0,0.0
84,89,83,0,147.87156589419075,0.0,0.0,0.0
78,83,79,0,138.6145735483827,0.0,0.0,0.0
81,85,84,0,144.3675863897433,0.0,0.0,0.0
80,84,83,0,142.63590010933433,0.0,0.0,0.0
86,90,91,0,154.19792475905763,0.0,0.0,0.0
90,94,95,0,161.1241757155021,0.0,0.0,0.0
80,84,83,0,142.63590010933433,0.0,0.0,0.0
82,89,81,0,145.62280041257276,0.0,0.0,0.0
112,118,108,0,195.27416623813812,0.0,0.0,0.0
84,90,80,0,146.81961721786362,0.0,0.0,0.0
75,77,66,0,126.13484847574837,0.0,0.0,0.0
75,73,61,0,121.14041439585718,0.0,0.0,0.0
75,73,60,0,120.63996021219504,0.0,0.0,0.0
76,74,61,0,122.36421045387414,0.0,0.0,0.0
73,71,56,0,116.21531740695802,0.0,0.0,0.0
73,69,57,0,115.49458861782226,0.0,0.0,0.0
74,68,54,0,114.08768557561329,0.0,0.0,0.0
89,88,70,0,143.40502083260543,0.0,0.0,0.0
90,94,79,0,152.23994219652081,0.0,0.0,0.0
91,102,88,0,162.5699849295681,0.0,0.0,0.0
80,88,77,0,141.6792151305194,0.0,0.0,0.0
90,93,84,0,154.2886904474855,0.0,0.0,0.0
75,76,68,0,126.58988901172162,0.0,0.0,0.0
74,71,64,0,120.88424214925617,0.0,0.0,0.0
75,72,63,0,121.56479753612885,0.0,0.0,0.0
72,69,60,0,116.38298844762494,0.0,0.0,0.0
72,69,60,0,116.38298844762494,0.0,0.0,0.0
74,74,64,0,122.67028980156523,0.0,0.0,0.0
72,73,65,0,121.40016474453401,0.0,0.0,0.0
74,75,67,0,124.85992151206888,0.0,0.0,0.0
77,78,70,0,130.04999038831184,0.0,0.0,0.0
77,79,68,0,129.59166639873106,0.0,0.0,0.0
80,83,72,0,135.9154148726332,0.0,0.0,0.0
77,82,76,0,135.7534529947581,0.0,0.0,0.0
77,86,83,0,142.17594733287342,0.0,0.0,0.0
90,100,99,0,167.0359242797788,0.0,0.0,0.0
99,105,103,0,177.29918217521478,0.0,0.0,0.0
100,106,104,0,179.03072362027697,0.0,0.0,0.0
97,98,92,0,165.76187740249566,0.0,0.0,0.0
76,74,62,0,122.86578042726136,0.0,0.0,0.0
68,68,60,0,113.34901852243803,0.0,0.0,0.0
86,87,81,0,146.7174154625142,0.0,0.0,0.0
77,78,72,0,131.13733259449805,0.0,0.0,0.0
74,75,69,0,125.94443219134381,0.0,0.0,0.0
75,76,70,0,127.67536959022284,0.0,0.0,0.0
80,81,75,0,136.33048081775402,0.0,0.0,0.0
77,79,76,0,133.96268137059664,0.0,0.0,0.0
82,88,86,0,147.86480311419618,0.0,0.0,0.0
95,101,101,0,171.54299752540177,0.0,0.0,0.0
