,red,green,blue,closest
354,75,78,69,
355,89,92,83,
356,71,74,65,
357,78,80,69,
358,74,76,63,
359,75,77,63,
360,101,107,107,
361,90,96,96,
362,96,102,102,
363,97,103,103,
364,102,107,110,
365,97,102,105,
366,96,101,104,
367,94,100,100,
368,92,98,96,
369,95,101,99,
370,89,95,93,
371,92,98,96,
372,86,92,88,
373,87,93,91,
374,84,90,88,
375,85,90,84,
376,85,90,84,
377,86,91,85,
378,84,89,83,
379,81,84,77,
380,78,79,71,
381,73,73,63,
382,75,73,61,
383,74,74,64,
384,76,76,66,
385,75,75,65,
386,73,73,61,
387,74,74,64,
388,70,72,61,
389,84,89,82,
390,82,87,83,
391,86,90,89,
392,109,114,110,
393,98,102,103,
394,97,101,102,
395,87,92,86,
396,87,90,81,
397,97,100,91,
398,78,79,71,
399,75,75,67,
400,78,74,62,
401,76,73,58,
402,77,74,59,
403,73,72,54,
404,78,75,56,
405,120,114,92,
406,133,131,108,
407,86,93,77,
408,89,101,89,
409,80,92,80,
410,80,88,77,
411,80,83,74,
412,92,92,84,
413,74,74,64,
414,74,74,64,
415,76,73,64,
416,72,72,62,
417,75,76,68,
418,77,78,70,
419,79,80,72,
420,77,80,71,
421,77,80,71,
422,77,82,75,
423,79,88,83,
424,90,96,94,
425,94,103,102,
426,95,105,107,
427,104,110,108,
428,90,90,80,
429,68,68,58,
430,79,80,74,
431,80,81,75,
432,74,75,69,
433,74,75,69,
434,73,74,68,
435,79,81,78,
436,86,92,90,
437,91,97,97,
438,90,94,97,
439,89,89,89,
440,82,83,78,
441,76,77,71,
442,74,75,69,
443,77,76,72,
444,74,73,69,
445,72,72,62,
446,75,75,67,
447,76,73,68,
448,75,72,63,
449,74,71,62,
450,72,72,60,
451,75,77,66,
452,77,79,68,
453,75,75,67,
454,77,75,63,
455,69,71,60,
456,75,78,69,
457,79,84,77,
458,82,85,78,
459,74,77,68,
460,75,79,65,
461,76,78,65,
462,73,73,61,
463,76,78,65,
464,74,74,64,
465,74,76,65,
466,71,74,65,
467,74,77,68,
468,81,84,75,
469,76,83,75,
470,79,89,81,
471,87,97,89,
472,89,96,89,
473,103,110,103,
474,112,119,112,
475,91,96,90,
476,91,96,89,
477,73,76,67,
478,77,79,68,
479,79,83,69,
480,100,106,106,
481,97,103,103,
482,96,102,102,
483,94,100,100,
484,94,100,100,
485,93,99,99,
486,97,103,103,
487,98,104,104,
488,97,103,101,
489,91,97,95,
490,91,97,95,
491,92,98,94,
492,89,96,89,
493,85,92,85,
494,82,89,82,
495,81,86,80,
496,81,86,80,
497,78,83,77,
498,80,85,79,
499,83,84,78,
500,77,78,70,
501,75,75,65,
502,78,76,64,
503,74,74,64,
504,73,73,63,
505,76,78,67,
506,74,71,62,
507,75,72,65,
508,74,75,67,
509,79,82,75,
510,88,95,87,
511,104,108,107,
512,100,99,104,
513,100,100,98,
514,91,93,79,
515,113,113,89,
516,147,144,109,
517,152,148,111,
518,146,144,106,
519,126,123,92,
520,120,114,90,
521,104,97,81,
522,92,84,71,
523,99,92,73,
524,128,123,94,
525,138,129,98,
526,142,136,114,
527,87,93,81,
528,80,92,78,
529,95,105,94,
530,77,87,76,
531,78,86,75,
532,81,84,75,
533,87,88,80,
534,82,83,75,
535,71,72,64,
536,77,78,70,
537,75,76,68,
538,75,76,68,
539,78,79,71,
540,71,76,69,
541,73,78,71,
542,79,84,77,
543,82,87,81,
544,87,91,90,
545,95,99,98,
546,90,99,98,
547,87,96,95,
548,95,100,96,
549,72,72,62,
550,70,67,60,
551,82,83,78,
552,75,76,71,
553,75,76,68,
554,77,78,72,
555,78,82,81,
556,93,102,99,
557,87,93,93,
558,92,93,95,
559,85,84,80,
560,77,76,71,
561,73,72,67,
562,74,73,68,
563,76,75,70,
564,76,75,70,
565,73,72,67,
566,76,73,66,
567,77,74,67,
568,75,72,65,
569,75,72,65,
570,75,72,63,
571,76,73,64,
572,79,76,67,
573,75,71,62,
574,76,74,62,
575,72,73,59,
576,71,75,60,
577,72,76,62,
578,72,75,64,
579,71,74,63,
580,74,76,65,
581,69,71,60,
582,75,76,68,
583,74,77,68,
584,79,82,73,
585,77,82,75,
586,76,86,78,
587,79,89,81,
588,80,87,80,
589,82,92,84,
590,84,94,85,
591,85,95,86,
592,91,101,93,
593,99,106,99,
594,96,103,96,
595,80,87,80,
596,85,90,83,
597,77,80,71,
598,77,80,71,
599,89,92,83,
600,90,96,94,
601,95,101,99,
602,96,102,100,
603,94,100,98,
604,95,101,101,
605,88,94,94,
606,96,102,102,
607,97,103,103,
608,98,104,102,
609,101,107,105,
610,93,99,97,
611,87,93,89,
612,91,98,91,
613,85,92,85,
614,83,90,83,
615,82,89,82,
616,81,86,80,
617,78,83,77,
618,81,86,80,
619,82,83,77,
620,80,81,73,
621,72,72,62,
622,71,69,57,
623,75,75,65,
624,75,75,65,
625,78,80,69,
626,78,75,66,
627,75,72,65,
628,75,75,65,
629,74,75,67,
630,84,89,82,
631,111,113,110,
632,94,93,89,
633,76,73,56,
634,153,147,115,
635,162,153,114,
636,165,156,117,
637,165,156,117,
638,156,148,111,
639,140,134,102,
640,133,126,97,
641,128,121,93,
642,128,121,93,
643,132,126,92,
644,141,135,99,
645,145,135,99,
646,136,131,109,
647,105,113,102,
648,79,93,80,
649,79,89,78,
650,84,94,83,
651,81,87,77,
652,78,79,71,
653,81,82,74,
654,79,80,72,
655,91,92,84,
656,74,75,67,
657,77,78,70,
658,77,78,70,
659,73,74,66,
660,73,76,69,
661,75,80,73,
662,75,80,73,
663,81,86,79,
664,87,93,89,
665,83,89,85,
666,87,93,89,
667,81,90,85,
668,87,96,91,
669,80,81,73,
670,72,69,62,
671,86,85,80,
672,77,78,72,
673,73,74,68,
674,76,77,71,
675,86,90,89,
676,93,99,97,
677,90,94,93,
678,86,86,86,
679,79,78,74,
680,76,75,70,
681,74,73,68,
682,71,70,65,
683,76,75,70,
684,74,75,69,
685,73,72,67,
686,73,73,65,
687,74,71,64,
688,73,70,63,
689,73,70,63,
690,74,71,62,
691,74,71,62,
692,74,74,64,
693,72,69,60,
694,76,69,59,
695,75,68,58,
696,73,71,58,
697,69,69,59,
698,72,73,65,
699,79,80,74,
700,82,85,76,
701,80,83,76,
702,81,86,80,
703,79,84,78,
704,83,88,82,
705,83,90,83,
706,81,91,83,
707,81,91,83,
708,83,93,85,
709,79,89,80,
710,81,91,82,
711,87,97,88,
712,85,95,87,
713,90,97,90,
714,84,91,84,
715,76,83,76,
716,89,96,88,
717,68,76,65,
718,87,95,84,
719,74,82,71,
720,91,97,93,
721,89,95,91,
722,92,98,94,
723,90,96,92,
724,91,97,93,
725,90,96,92,
726,90,96,92,
727,90,96,92,
728,92,98,96,
729,94,100,98,
730,92,98,96,
731,93,99,95,
732,84,91,84,
733,92,99,92,
734,86,93,86,
735,81,88,81,
736,80,85,79,
737,77,82,76,
738,75,80,74,
739,80,81,75,
740,77,78,70,
741,74,74,64,
742,75,73,61,
743,72,72,62,
744,71,71,63,
745,72,74,63,
746,76,73,64,
747,73,70,63,
748,75,76,70,
749,74,75,67,
750,90,97,90,
751,126,128,123,
752,78,76,63,
753,131,122,91,
754,166,148,108,
755,167,150,107,
756,169,154,113,
757,160,146,109,
758,152,142,107,
759,143,133,98,
760,138,127,97,
761,142,132,97,
762,150,141,100,
763,156,147,106,
764,148,139,98,
765,147,137,101,
766,135,134,114,
767,108,119,111,
768,87,103,92,
769,84,96,84,
770,90,100,89,
771,79,85,75,
772,81,82,74,
773,79,80,72,
774,82,83,75,
775,76,79,70,
776,91,92,84,
777,79,80,72,
778,73,74,66,
779,75,76,68,
780,76,79,72,
781,75,80,73,
782,78,83,76,
783,80,85,78,
784,77,84,76,
785,77,84,76,
786,84,89,82,
787,79,86,79,
788,83,92,87,
789,83,90,83,
790,76,73,66,
791,74,71,62,
792,80,79,74,
793,73,76,69,
794,76,77,71,
795,84,86,81,
796,89,94,90,
797,83,83,81,
798,79,78,76,
799,78,77,72,
800,73,72,67,
801,72,71,66,
802,79,78,73,
803,76,75,70,
804,75,74,69,
805,74,73,68,
806,72,72,64,
807,76,73,66,
808,79,76,69,
809,76,73,66,
810,81,78,69,
811,77,74,65,
812,72,69,60,
813,74,70,61,
814,72,68,59,
815,73,70,61,
816,72,74,63,
817,81,84,75,
818,82,87,81,
819,81,87,83,
820,81,86,80,
821,80,86,82,
822,79,88,83,
823,81,90,85,
824,81,87,83,
825,82,91,86,
826,80,90,82,
827,85,95,87,
828,80,90,82,
829,79,89,80,
830,78,88,79,
831,81,91,82,
832,99,109,100,
833,82,89,82,
834,80,87,80,
835,79,86,79,
836,76,86,77,
837,71,81,70,
838,79,90,76,
839,76,86,75,
840,88,95,88,
841,87,94,87,
842,98,105,98,
843,87,94,87,
844,86,93,86,
845,92,99,92,
846,91,97,93,
847,91,97,93,
848,88,94,92,
849,89,95,93,
850,90,96,94,
851,89,95,91,
852,87,92,86,
853,91,98,91,
854,86,93,86,
855,87,92,86,
856,80,85,79,
857,78,83,77,
858,76,81,75,
859,76,77,71,
860,77,78,70,
861,74,74,64,
862,73,70,61,
863,72,72,62,
864,72,72,62,
865,73,75,64,
866,74,72,60,
867,74,71,62,
868,71,71,61,
869,75,77,66,
870,79,84,78,
871,85,85,73,
872,109,103,79,
873,156,147,108,
874,163,148,109,
875,160,145,106,
876,166,153,111,
877,163,151,113,
878,152,139,105,
879,146,133,98,
880,149,136,101,
881,151,139,101,
882,155,143,101,
883,170,158,116,
884,158,146,106,
885,147,137,101,
886,127,130,113,
887,129,142,135,
888,96,112,102,
889,82,92,81,
890,76,86,75,
891,85,93,82,
892,79,85,75,
893,78,81,72,
894,82,83,75,
895,79,80,72,
896,75,78,69,
897,82,85,76,
898,83,86,77,
899,73,76,67,
900,72,77,70,
901,74,81,73,
902,80,85,78,
903,77,80,71,
904,76,82,72,
905,77,80,71,
906,82,85,76,
907,76,81,74,
908,80,85,78,
909,79,88,83,
910,76,75,70,
911,74,70,61,
912,87,86,81,
913,71,74,67,
914,73,74,68,
915,76,79,72,
916,98,101,94,
917,75,74,69,
918,77,74,69,
919,77,74,69,
920,75,72,65,
921,77,74,67,
922,79,76,69,
923,76,73,66,
924,73,72,67,
925,76,73,66,
926,74,71,64,
927,76,72,63,
928,75,72,63,
929,79,76,67,
930,77,74,65,
931,76,73,64,
932,75,75,65,
933,73,73,63,
934,76,77,69,
935,76,81,74,
936,80,88,77,
937,78,88,79,
938,81,91,83,
939,79,89,81,
940,78,85,78,
941,82,91,86,
942,80,91,85,
943,78,89,83,
944,85,96,92,
945,88,97,94,
946,84,93,90,
947,82,91,86,
948,85,94,89,
949,79,89,81,
950,81,91,83,
951,93,103,95,
952,79,89,81,
953,82,89,82,
954,84,90,86,
955,92,98,94,
956,86,95,90,
957,84,94,85,
958,88,98,87,
959,82,92,83,
960,85,90,83,
961,85,90,83,
962,85,90,83,
963,87,90,83,
964,85,90,86,
965,84,90,86,
966,87,93,89,
967,88,94,90,
968,89,94,90,
969,89,94,90,
970,90,95,91,
971,89,94,90,
972,83,88,84,
973,87,92,86,
974,79,84,78,
975,82,87,81,
976,87,90,83,
977,86,91,84,
978,78,81,74,
979,79,78,73,
980,76,76,68,
981,74,74,66,
982,79,76,69,
983,75,72,63,
984,74,72,60,
985,73,70,63,
986,74,72,60,
987,73,71,58,
988,76,74,61,
989,76,77,63,
990,74,76,65,
991,79,77,56,
992,148,140,104,
993,148,139,98,
994,156,144,104,
995,162,147,108,
996,160,147,103,
997,162,148,111,
998,153,140,106,
999,152,140,102,
1000,163,151,109,
1001,176,164,124,
1002,163,150,106,
1003,179,166,121,
1004,169,157,115,
1005,144,134,99,
1006,111,115,98,
1007,130,145,142,
1008,109,122,115,
1009,86,96,85,
1010,81,91,80,
1011,92,102,91,
1012,75,85,74,
1013,76,84,73,
1014,77,83,73,
1015,77,80,71,
1016,75,78,69,
1017,75,81,71,
1018,75,81,71,
1019,89,95,85,
1020,72,80,69,
1021,75,83,72,
1022,73,76,67,
1023,77,78,70,
1024,73,76,67,
1025,76,77,69,
1026,79,80,72,
1027,79,82,73,
1028,76,84,73,
1029,81,83,78,
1030,83,80,75,
1031,76,73,66,
1032,74,74,66,
1033,76,79,70,
1034,72,78,68,
1035,73,76,69,
1036,89,90,84,
1037,76,75,70,
1038,76,71,67,
1039,77,72,66,
1040,74,71,64,
1041,75,72,65,
1042,77,74,67,
1043,76,73,66,
1044,75,72,65,
1045,75,72,65,
1046,77,73,64,
1047,73,71,59,
1048,75,75,63,
1049,74,74,62,
1050,69,71,60,
1051,70,71,63,
1052,78,84,74,
1053,80,88,77,
1054,79,87,76,
1055,78,85,77,
1056,85,95,84,
1057,85,92,84,
1058,78,85,77,
1059,79,86,78,
1060,81,88,80,
1061,80,90,82,
1062,84,93,90,
1063,84,93,88,
1064,90,99,96,
1065,97,106,103,
1066,87,96,95,
1067,84,93,92,
1068,85,94,91,
1069,84,95,87,
1070,90,102,92,
1071,92,99,92,
1072,90,97,89,
1073,82,91,86,
1074,86,95,90,
1075,96,105,100,
1076,103,112,109,
1077,85,92,85,
1078,76,84,73,
1079,77,84,77,
1080,85,90,83,
1081,85,90,83,
1082,84,89,82,
1083,84,87,80,
1084,85,88,81,
1085,83,86,79,
1086,85,88,81,
1087,81,84,77,
1088,80,83,76,
1089,78,81,74,
1090,79,82,75,
1091,77,80,73,
1092,85,88,81,
1093,79,82,75,
1094,75,78,71,
1095,77,80,71,
1096,80,83,74,
1097,86,89,80,
1098,79,80,72,
1099,80,80,72,
1100,80,80,72,
1101,78,78,70,
1102,76,76,68,
1103,77,74,65,
1104,77,74,65,
1105,73,70,63,
1106,79,77,65,
1107,74,72,59,
1108,76,74,61,
1109,79,75,63,
1110,76,74,61,
