,red,green,blue,closest
3275,149,134,101,
3276,159,145,108,
3277,195,173,124,
3278,194,186,140,
3279,113,112,82,
3280,178,170,123,
3281,196,188,149,
3282,132,120,78,
3283,209,191,141,
3284,176,159,113,
3285,175,157,111,
3286,189,167,118,
3287,233,210,158,
3288,206,181,127,
3289,216,189,134,
3290,193,166,111,
3291,204,177,122,
3292,212,186,129,
3293,213,187,130,
3294,208,182,125,
3295,212,186,129,
3296,201,176,120,
3297,201,176,120,
3298,208,183,127,
3299,217,192,136,
3300,205,184,127,
3301,208,187,130,
3302,204,183,126,
3303,205,184,127,
3304,203,184,126,
3305,197,180,124,
3306,197,180,126,
3307,192,176,125,
3308,187,171,122,
3309,186,168,118,
3310,164,155,116,
3311,89,86,69,
3312,83,79,70,
3313,80,76,67,
3314,79,76,67,
3315,80,80,68,
3316,85,83,71,
3317,75,71,62,
3318,80,70,69,
3319,89,74,79,
3320,98,75,93,
3321,129,94,126,
3322,135,92,138,
3323,138,95,141,
3324,135,94,138,
3325,130,91,136,
3326,128,91,135,
3327,130,91,138,
3328,126,87,134,
3329,130,92,143,
3330,129,89,139,
3331,146,99,154,
3332,147,105,155,
3333,125,108,127,
3334,101,107,107,
3335,105,122,116,
3336,123,136,129,
3337,108,119,115,
3338,106,115,114,
3339,102,112,111,
3340,108,118,117,
3341,111,123,121,
3342,98,113,110,
3343,100,115,112,
3344,103,118,115,
3345,98,113,108,
3346,101,116,111,
3347,102,117,112,
3348,97,112,107,
3349,100,112,110,
3350,95,106,100,
3351,96,107,101,
3352,94,103,100,
3353,72,75,68,
3354,94,99,92,
3355,79,89,80,
3356,93,100,92,
3357,89,97,86,
3358,71,77,67,
3359,94,100,90,
3360,81,88,80,
3361,82,89,81,
3362,78,85,77,
3363,85,92,85,
3364,89,99,91,
3365,90,97,89,
3366,81,84,73,
3367,76,78,64,
3368,78,78,66,
3369,78,76,63,
3370,81,79,64,
3371,125,120,91,
3372,143,133,98,
3373,156,145,100,
3374,172,158,109,
3375,180,163,117,
3376,184,168,119,
3377,184,168,116,
3378,188,173,118,
3379,189,172,120,
3380,187,170,118,
3381,172,154,106,
3382,171,150,105,
3383,166,143,93,
3384,216,188,138,
3385,229,202,149,
3386,225,198,143,
3387,220,193,138,
3388,201,176,120,
3389,200,175,121,
3390,207,180,133,
3391,212,189,137,
3392,225,200,144,
3393,163,139,95,
3394,165,143,102,
3395,126,110,77,
3396,194,180,141,
3397,179,166,113,
3398,141,134,90,
3399,133,131,93,
3400,190,177,132,
3401,146,140,104,
3402,152,139,95,
3403,208,187,132,
3404,207,187,137,
3405,175,154,107,
3406,188,166,117,
3407,200,174,123,
3408,210,185,131,
3409,199,172,117,
3410,186,159,104,
3411,200,173,118,
3412,202,176,119,
3413,219,193,136,
3414,219,193,136,
3415,219,193,136,
3416,215,190,133,
3417,214,189,132,
3418,214,189,133,
3419,215,190,134,
3420,206,183,131,
3421,196,175,122,
3422,192,171,118,
3423,198,177,124,
3424,194,177,123,
3425,194,177,123,
3426,193,176,124,
3427,185,168,122,
3428,178,161,115,
3429,181,163,115,
3430,166,156,120,
3431,87,84,69,
3432,79,79,69,
3433,81,76,70,
3434,80,78,66,
3435,79,79,69,
3436,82,71,77,
3437,118,88,114,
3438,139,105,138,
3439,134,99,141,
3440,131,92,137,
3441,139,93,140,
3442,142,92,141,
3443,136,90,136,
3444,128,85,131,
3445,127,90,134,
3446,129,92,136,
3447,131,89,137,
3448,131,89,135,
3449,134,92,140,
3450,138,94,145,
3451,138,94,145,
3452,143,104,149,
3453,133,103,137,
3454,108,103,109,
3455,125,137,133,
3456,115,127,127,
3457,101,111,112,
3458,99,109,108,
3459,105,116,112,
3460,104,114,113,
3461,106,118,116,
3462,108,123,120,
3463,102,117,114,
3464,96,111,108,
3465,108,123,120,
3466,102,119,113,
3467,91,106,101,
3468,98,110,106,
3469,102,112,113,
3470,93,104,96,
3471,91,102,94,
3472,85,96,92,
3473,77,87,79,
3474,92,100,89,
3475,89,96,88,
3476,99,105,95,
3477,74,80,70,
3478,83,89,79,
3479,76,82,72,
3480,81,88,80,
3481,84,91,83,
3482,84,91,83,
3483,95,102,94,
3484,91,100,95,
3485,94,101,94,
3486,91,96,89,
3487,81,84,73,
3488,78,80,67,
3489,82,80,68,
3490,81,78,63,
3491,131,124,95,
3492,145,133,95,
3493,166,153,108,
3494,176,162,117,
3495,182,165,119,
3496,183,167,118,
3497,186,170,118,
3498,188,173,118,
3499,190,173,119,
3500,191,173,123,
3501,191,173,127,
3502,182,163,120,
3503,174,153,110,
3504,169,147,100,
3505,168,145,93,
3506,185,160,104,
3507,206,179,126,
3508,212,185,140,
3509,182,154,117,
3510,157,131,94,
3511,171,148,106,
3512,205,181,135,
3513,153,125,85,
3514,199,171,124,
3515,140,117,85,
3516,140,125,92,
3517,153,138,95,
3518,190,181,142,
3519,161,157,119,
3520,154,141,96,
3521,150,146,111,
3522,195,183,141,
3523,205,183,126,
3524,215,188,133,
3525,181,159,109,
3526,191,173,123,
3527,200,177,125,
3528,203,178,124,
3529,203,176,121,
3530,209,179,125,
3531,207,180,125,
3532,210,184,127,
3533,211,185,128,
3534,215,189,132,
3535,211,185,128,
3536,207,182,125,
3537,197,172,116,
3538,204,179,123,
3539,200,175,121,
3540,193,170,118,
3541,192,170,120,
3542,193,171,121,
3543,191,169,119,
3544,188,168,117,
3545,185,167,117,
3546,186,168,120,
3547,184,166,120,
3548,177,161,110,
3549,174,157,111,
3550,147,136,108,
3551,86,84,71,
3552,79,79,69,
3553,81,77,68,
3554,78,78,66,
3555,83,74,75,
3556,139,110,141,
3557,139,95,146,
3558,133,91,141,
3559,143,99,148,
3560,143,96,150,
3561,142,91,147,
3562,142,92,145,
3563,133,87,136,
3564,127,84,130,
3565,127,88,133,
3566,132,90,136,
3567,134,88,137,
3568,132,88,137,
3569,140,94,143,
3570,140,93,145,
3571,140,96,147,
3572,147,105,153,
3573,137,102,144,
3574,133,120,137,
3575,103,112,111,
3576,103,115,115,
3577,101,111,112,
3578,95,105,104,
3579,106,116,115,
3580,105,115,114,
3581,104,116,114,
3582,100,115,112,
3583,101,116,113,
3584,104,119,116,
3585,101,116,111,
3586,99,114,109,
3587,98,113,108,
3588,102,115,108,
3589,99,111,109,
3590,91,102,94,
3591,79,90,82,
3592,93,104,100,
3593,83,93,85,
3594,86,94,83,
3595,108,113,106,
3596,85,91,81,
3597,82,88,78,
3598,83,89,79,
3599,89,95,85,
3600,83,91,80,
3601,93,101,90,
3602,88,96,85,
3603,89,96,88,
3604,83,93,85,
3605,85,95,87,
3606,83,90,83,
3607,86,92,82,
3608,82,86,72,
3609,75,75,63,
3610,84,82,69,
3611,105,98,70,
3612,162,150,110,
3613,167,154,109,
3614,178,164,117,
3615,183,167,118,
3616,188,171,119,
3617,192,175,123,
3618,190,173,119,
3619,186,171,116,
3620,172,154,104,
3621,171,155,106,
3622,166,149,105,
3623,159,141,101,
3624,155,136,93,
3625,226,204,154,
3626,219,194,140,
3627,212,185,132,
3628,202,176,125,
3629,198,175,123,
3630,183,161,114,
3631,166,145,100,
3632,154,135,95,
3633,158,134,96,
3634,200,175,119,
3635,200,181,141,
3636,132,123,92,
3637,145,139,103,
3638,153,145,109,
3639,152,151,107,
3640,179,169,118,
3641,147,138,97,
3642,160,149,104,
3643,233,211,154,
3644,231,202,146,
3645,185,162,110,
3646,182,164,114,
3647,191,168,116,
3648,193,166,111,
3649,197,167,113,
3650,207,178,122,
3651,217,188,132,
3652,210,184,127,
3653,210,184,127,
3654,220,194,137,
3655,209,183,126,
3656,209,184,127,
3657,208,183,127,
3658,205,180,126,
3659,203,177,126,
3660,193,170,118,
3661,188,166,116,
3662,189,167,118,
3663,190,168,121,
3664,190,170,120,
3665,183,165,119,
3666,188,167,124,
3667,180,162,116,
3668,181,165,114,
3669,172,157,118,
3670,90,83,65,
3671,82,82,72,
3672,78,78,70,
3673,80,78,66,
3674,77,78,64,
3675,92,69,87,
3676,139,96,141,
3677,144,96,148,
3678,145,98,152,
3679,146,98,148,
3680,146,98,148,
3681,143,93,146,
3682,140,92,142,
3683,133,87,134,
3684,130,84,131,
3685,128,86,132,
3686,132,89,135,
3687,135,87,137,
3688,139,91,141,
3689,138,90,140,
3690,142,94,146,
3691,144,98,147,
3692,146,100,149,
3693,143,104,151,
3694,140,115,144,
3695,119,120,125,
3696,103,115,113,
3697,100,110,109,
3698,92,102,101,
3699,105,115,114,
3700,106,117,113,
3701,105,117,113,
3702,99,114,109,
3703,113,128,123,
3704,97,112,107,
3705,98,110,106,
3706,98,109,103,
3707,99,112,105,
3708,93,106,99,
3709,92,105,98,
3710,84,97,87,
3711,80,91,83,
3712,102,112,104,
3713,85,92,84,
3714,100,105,98,
3715,83,86,79,
3716,81,86,79,
3717,83,88,81,
3718,72,77,70,
3719,80,85,78,
3720,93,101,90,
3721,80,88,77,
3722,83,91,80,
3723,87,95,84,
3724,87,95,84,
3725,84,91,83,
3726,85,93,82,
3727,82,88,78,
3728,82,85,74,
3729,80,80,68,
3730,80,81,65,
3731,89,82,63,
3732,149,138,108,
3733,170,159,114,
3734,184,171,119,
3735,189,172,120,
3736,188,171,119,
3737,194,177,125,
3738,192,175,123,
3739,189,174,119,
3740,183,167,116,
3741,182,165,121,
3742,179,160,120,
3743,174,152,111,
3744,166,145,100,
3745,163,140,90,
3746,161,134,81,
3747,185,155,105,
3748,188,159,115,
3749,194,167,124,
3750,185,162,120,
3751,168,146,109,
3752,151,133,95,
3753,169,150,110,
3754,170,147,93,
3755,193,172,129,
3756,147,133,94,
3757,162,153,112,
3758,137,122,79,
3759,188,178,127,
3760,209,190,132,
3761,216,195,142,
3762,209,189,138,
3763,199,179,126,
3764,189,167,118,
3765,194,172,123,
3766,195,174,121,
3767,200,175,121,
3768,202,172,118,
3769,206,175,120,
3770,220,189,134,
3771,217,186,131,
3772,216,187,131,
3773,206,180,123,
3774,207,181,124,
3775,210,185,128,
3776,209,184,127,
3777,207,182,126,
3778,201,175,124,
3779,192,166,117,
3780,193,170,118,
3781,188,166,116,
3782,187,165,118,
3783,189,166,122,
3784,180,159,114,
3785,187,169,119,
3786,183,165,115,
3787,176,159,113,
3788,178,164,125,
3789,153,142,114,
3790,88,84,73,
3791,83,83,75,
3792,78,78,68,
3793,80,76,65,
3794,84,77,67,
3795,144,114,142,
3796,135,89,138,
3797,150,102,152,
3798,148,97,153,
3799,148,98,149,
3800,146,96,147,
3801,140,90,141,
3802,139,91,141,
3803,129,86,132,
3804,126,83,129,
3805,130,88,134,
3806,132,86,133,
3807,135,87,137,
3808,140,92,142,
3809,142,94,144,
3810,144,94,145,
3811,145,97,147,
3812,145,99,146,
3813,145,103,151,
3814,138,103,145,
3815,107,99,112,
3816,100,112,108,
3817,100,111,107,
3818,99,110,106,
3819,109,120,116,
3820,115,126,122,
3821,120,132,128,
3822,104,119,114,
3823,103,118,113,
3824,104,119,114,
3825,102,113,107,
3826,101,111,103,
3827,100,111,103,
3828,97,108,100,
3829,91,104,94,
3830,78,91,81,
3831,98,108,99,
3832,87,94,86,
3833,96,101,94,
3834,75,80,73,
3835,79,84,77,
3836,73,78,71,
3837,81,86,79,
3838,79,84,77,
3839,79,84,77,
3840,90,100,89,
3841,77,87,76,
3842,80,88,77,
3843,80,88,77,
3844,81,89,76,
3845,79,87,74,
3846,81,89,76,
3847,84,87,76,
3848,80,86,74,
3849,77,79,65,
3850,78,77,59,
3851,80,77,60,
3852,85,80,60,
3853,147,139,103,
3854,185,172,120,
3855,195,178,124,
3856,193,177,125,
3857,193,177,126,
3858,193,176,122,
3859,188,172,120,
3860,173,156,112,
3861,162,144,104,
3862,153,133,96,
3863,182,159,117,
3864,213,189,141,
3865,205,180,126,
3866,199,170,112,
3867,195,166,108,
3868,215,189,130,
3869,205,180,124,
3870,187,164,114,
3871,183,159,113,
3872,170,149,102,
3873,166,144,103,
3874,178,155,111,
3875,244,222,173,
3876,215,191,143,
3877,186,164,114,
3878,192,171,118,
3879,215,189,132,
3880,234,206,143,
3881,212,184,121,
3882,199,174,118,
3883,193,173,123,
3884,187,171,122,
3885,190,172,122,
3886,196,173,123,
3887,199,172,119,
3888,210,180,126,
3889,210,179,125,
3890,214,183,128,
3891,204,173,118,
3892,212,183,127,
3893,209,183,126,
3894,202,176,119,
3895,201,176,119,
3896,201,176,120,
3897,197,172,118,
3898,196,170,119,
3899,198,172,123,
3900,195,172,120,
3901,194,173,118,
3902,191,169,119,
3903,185,162,118,
3904,182,159,115,
3905,185,163,116,
3906,187,169,119,
3907,161,149,109,
3908,108,101,75,
3909,85,79,65,
3910,85,84,79,
3911,75,74,70,
3912,80,78,66,
3913,78,74,63,
3914,84,72,72,
3915,144,111,142,
3916,145,99,148,
3917,154,100,160,
3918,156,100,161,
3919,149,96,148,
3920,141,91,142,
3921,138,88,139,
3922,135,87,137,
3923,129,86,132,
3924,130,87,133,
3925,128,85,131,
3926,130,84,133,
3927,139,91,141,
3928,137,87,138,
3929,139,89,140,
3930,141,91,142,
3931,145,95,146,
3932,144,98,147,
3933,144,98,147,
3934,141,99,147,
3935,129,111,133,
3936,99,103,102,
3937,90,106,95,
3938,105,115,116,
3939,107,118,114,
3940,112,121,118,
3941,107,119,115,
3942,100,115,110,
3943,102,117,112,
3944,99,114,109,
3945,101,114,107,
3946,96,106,98,
3947,94,106,96,
3948,98,111,102,
3949,83,94,86,
3950,89,101,91,
3951,83,90,82,
3952,90,95,88,
3953,79,84,77,
3954,81,86,79,
3955,78,83,76,
3956,85,90,83,
3957,75,80,73,
3958,74,79,72,
3959,89,94,88,
3960,89,95,83,
3961,80,86,76,
3962,78,86,75,
3963,81,91,80,
3964,79,85,73,
3965,79,87,72,
3966,78,86,71,
3967,75,83,68,
3968,77,83,71,
3969,76,76,64,
3970,76,74,61,
3971,79,77,62,
3972,80,76,64,
3973,85,77,58,
3974,157,141,108,
3975,190,172,122,
3976,190,173,119,
3977,185,168,116,
3978,180,162,112,
3979,164,147,104,
3980,159,142,99,
3981,150,132,86,
3982,195,174,131,
3983,181,158,114,
3984,178,152,103,
3985,225,197,147,
3986,231,201,147,
3987,226,196,142,
3988,180,152,104,
3989,177,151,102,
3990,178,153,99,
3991,219,193,136,
3992,232,210,153,
3993,178,158,108,
3994,172,151,106,
3995,178,155,103,
3996,237,205,154,
3997,232,205,152,
3998,194,169,113,
3999,237,206,149,
4000,250,220,158,
4001,218,192,133,
4002,189,168,115,
4003,180,158,109,
4004,191,171,120,
4005,181,159,109,
4006,204,178,129,
4007,206,176,124,
4008,205,174,119,
4009,202,171,116,
4010,204,173,118,
4011,217,186,131,
4012,211,182,126,
4013,215,186,130,
4014,222,193,137,
4015,209,183,126,
4016,208,183,126,
4017,209,184,128,
4018,196,170,119,
4019,197,171,122,
4020,197,174,124,
4021,190,168,119,
4022,188,165,121,
4023,184,161,117,
4024,181,156,115,
4025,195,173,123,
4026,172,158,113,
4027,120,112,93,
4028,96,92,83,
4029,83,80,75,
4030,91,90,88,
4031,85,81,78,
4032,80,76,64,
4033,79,72,62,
4034,86,71,76,
4035,141,103,142,
4036,151,98,154,
4037,155,99,160,
4038,156,101,159,
4039,146,96,149,
4040,137,87,138,
4041,139,89,140,
4042,135,87,135,
4043,129,86,132,
4044,123,80,126,
4045,129,86,132,
4046,128,82,131,
4047,135,87,137,
4048,134,86,136,
4049,133,85,135,
4050,145,97,147,
4051,144,96,146,
4052,142,95,147,
4053,141,95,142,
4054,142,98,147,
4055,143,113,147,
4056,102,94,107,
4057,82,95,85,
4058,94,103,100,
4059,106,119,112,
4060,104,115,111,
4061,107,119,115,
4062,106,121,116,
4063,98,113,108,
4064,95,107,103,
4065,97,108,102,
4066,94,104,96,
4067,97,108,100,
4068,87,99,89,
4069,85,95,86,
4070,86,93,85,
4071,83,88,81,
4072,74,79,72,
4073,76,81,74,
4074,85,90,83,
4075,84,89,82,
4076,78,83,76,
4077,74,79,72,
4078,94,99,92,
4079,106,111,104,
4080,78,78,66,
4081,81,83,70,
4082,81,87,75,
4083,83,91,80,
4084,76,88,76,
4085,76,88,76,
4086,79,85,75,
4087,81,84,75,
4088,79,81,70,
4089,78,78,68,
4090,78,76,64,
4091,76,77,63,
4092,75,78,61,
4093,81,79,67,
4094,86,76,64,
4095,131,117,88,
4096,183,168,125,
4097,170,153,107,
4098,152,137,98,
4099,154,138,104,
4100,148,131,88,
4101,198,178,127,
4102,199,178,125,
4103,183,161,112,
4104,178,156,109,
4105,174,151,107,
4106,176,152,108,
4107,174,147,104,
4108,182,155,110,
4109,197,169,122,
4110,199,169,119,
4111,196,166,112,
4112,196,170,113,
4113,190,168,118,
4114,176,155,112,
4115,171,144,97,
4116,198,166,115,
4117,237,207,155,
4118,200,173,120,
4119,218,191,138,
4120,233,206,151,
4121,207,186,133,
4122,182,164,116,
4123,186,163,113,
4124,194,169,115,
4125,195,170,116,
4126,192,164,114,
4127,208,178,124,
4128,207,176,121,
4129,206,175,120,
4130,210,179,124,
4131,217,186,131,
4132,216,185,130,
4133,217,186,131,
4134,219,188,133,
4135,212,181,126,
4136,212,186,129,
4137,199,174,118,
4138,202,176,125,
4139,200,174,125,
4140,193,170,120,
4141,190,168,118,
4142,191,169,122,
4143,184,162,113,
4144,186,164,117,
4145,184,165,125,
4146,110,97,78,
4147,88,81,73,
4148,83,80,71,
4149,81,80,75,
4150,85,84,80,
4151,89,85,82,
4152,81,77,66,
4153,84,77,69,
4154,83,71,73,
4155,151,113,152,
4156,149,96,152,
4157,156,101,159,
4158,152,101,157,
4159,151,98,154,
4160,146,93,149,
4161,143,90,142,
4162,137,87,136,
4163,133,87,134,
4164,128,85,131,
4165,126,83,129,
4166,128,82,129,
4167,131,83,131,
4168,134,86,134,
4169,136,88,136,
4170,139,91,139,
4171,138,90,138,
4172,143,95,147,
4173,139,96,142,
4174,142,95,147,
4175,142,100,146,
4176,115,100,121,
4177,78,90,80,
4178,79,88,83,
4179,107,120,113,
4180,103,114,110,
4181,102,114,112,
4182,99,111,109,
4183,101,112,108,
4184,91,100,95,
4185,90,100,92,
4186,87,94,86,
4187,88,98,89,
4188,84,91,83,
4189,91,98,90,
4190,75,80,73,
4191,81,84,77,
4192,80,85,78,
4193,73,78,71,
4194,92,97,90,
4195,83,88,81,
4196,95,101,91,
4197,77,82,75,
4198,84,89,82,
4199,80,86,76,
4200,77,74,59,
4201,81,79,66,
4202,80,82,69,
4203,80,86,74,
4204,79,87,74,
4205,80,88,75,
4206,83,86,75,
4207,82,85,74,
4208,80,86,74,
4209,80,82,71,
4210,77,77,67,
4211,77,79,66,
4212,76,77,61,
4213,82,80,67,
4214,82,78,66,
4215,82,79,64,
4216,82,77,57,
4217,114,107,78,
4218,140,129,101,
4219,147,134,99,
4220,168,152,103,
4221,198,177,122,
4222,202,176,125,
4223,194,172,122,
4224,188,166,117,
4225,177,155,108,
4226,174,152,105,
4227,197,174,122,
4228,203,176,121,
4229,196,165,110,
4230,213,182,128,
4231,210,180,128,
4232,182,154,104,
4233,182,158,110,
4234,180,159,114,
4235,184,163,120,
4236,187,165,118,
4237,171,149,102,
4238,177,155,108,
4239,190,168,121,
4240,162,141,94,
4241,183,162,115,
4242,182,162,112,
4243,195,172,122,
4244,199,172,119,
4245,197,171,120,
4246,198,173,119,
4247,189,159,105,
4248,215,184,129,
4249,216,185,128,
4250,217,186,131,
4251,214,183,128,
4252,212,181,126,
4253,218,187,132,
4254,219,188,133,
4255,218,187,132,
4256,211,184,129,
4257,204,179,125,
4258,200,174,123,
4259,201,175,124,
4260,190,166,122,
4261,190,167,123,
4262,193,171,124,
4263,183,161,114,
4264,203,179,141,
4265,153,127,128,
4266,135,110,132,
4267,109,87,99,
4268,102,81,88,
4269,95,79,82,
4270,82,72,70,
4271,88,80,77,
4272,82,77,73,
4273,79,76,69,
4274,82,78,75,
4275,115,91,115,
4276,147,101,150,
4277,154,98,159,
4278,154,98,159,
4279,147,93,151,
4280,145,92,148,
4281,140,87,139,
4282,135,85,134,
4283,132,86,133,
4284,128,82,129,
4285,129,83,130,
4286,129,83,130,
4287,129,81,129,
4288,133,85,133,
4289,134,86,134,
4290,133,85,133,
4291,134,86,134,
4292,137,89,137,
4293,140,94,140,
4294,138,94,145,
4295,136,99,142,
4296,117,100,118,
4297,77,89,79,
4298,84,93,90,
4299,92,104,100,
4300,99,110,106,
4301,105,116,112,
4302,105,116,112,
4303,91,97,93,
4304,79,84,78,
4305,77,83,73,
4306,83,89,79,
4307,89,95,85,
4308,86,92,82,
4309,73,79,69,
4310,79,84,77,
4311,80,85,78,
4312,80,85,78,
4313,95,100,93,
4314,77,82,75,
4315,79,84,77,
4316,100,106,96,
4317,80,85,79,
4318,76,81,75,
4319,80,86,74,
4320,76,71,52,
4321,76,73,56,
4322,77,78,64,
4323,76,78,65,
4324,81,85,71,
4325,82,84,71,
4326,83,87,73,
4327,83,91,76,
4328,83,91,78,
4329,79,85,73,
4330,77,79,68,
4331,76,78,65,
4332,77,78,64,
4333,82,78,66,
4334,77,74,59,
4335,79,77,64,
4336,78,74,63,
4337,83,80,63,
4338,85,81,52,
4339,131,119,77,
4340,201,186,131,
4341,195,174,121,
4342,195,169,120,
4343,199,173,122,
4344,202,177,123,
4345,198,173,117,
4346,201,176,122,
4347,207,181,124,
4348,225,196,136,
4349,230,198,137,
4350,207,175,116,
4351,201,170,116,
4352,204,181,131,
4353,181,157,109,
4354,194,171,121,
4355,203,181,131,
4356,179,161,113,
4357,183,165,119,
4358,181,160,115,
4359,181,158,114,
4360,175,152,108,
4361,182,159,115,
4362,188,168,117,
4363,187,166,113,
4364,201,176,122,
4365,202,179,125,
4366,198,173,119,
4367,204,174,120,
4368,208,177,120,
4369,210,179,124,
4370,221,190,135,
4371,218,187,132,
4372,219,188,133,
4373,223,192,137,
4374,222,191,136,
4375,221,190,135,
4376,217,191,134,
4377,205,180,123,
4378,197,170,125,
4379,194,166,126,
4380,197,170,125,
4381,195,170,113,
4382,196,172,110,
4383,192,165,122,
4384,181,148,141,
4385,144,105,136,
4386,147,105,151,
4387,148,106,144,
4388,144,103,145,
4389,141,103,144,
4390,147,113,150,
4391,147,121,150,
4392,105,84,101,
4393,86,77,80,
4394,94,99,93,
4395,87,82,89,
4396,138,108,144,
4397,156,107,162,
4398,152,98,158,
4399,148,97,154,
4400,146,95,151,
4401,143,90,144,
4402,139,87,136,
4403,135,88,134,
4404,132,84,132,
4405,132,84,132,
4406,134,86,134,
4407,131,83,131,
4408,135,87,135,
4409,134,86,134,
4410,134,86,134,
4411,132,84,134,
4412,133,87,134,
4413,139,91,139,
4414,135,91,142,
4415,133,103,139,
4416,99,89,97,
4417,88,94,90,
4418,94,107,100,
4419,96,109,102,
4420,95,106,102,
4421,91,102,96,
4422,95,104,101,
4423,82,87,83,
4424,79,82,73,
4425,78,80,69,
4426,76,78,65,
4427,80,82,69,
4428,77,80,69,
4429,77,82,75,
4430,85,90,83,
4431,70,77,69,
4432,83,88,82,
4433,82,89,81,
4434,72,79,71,
4435,79,84,77,
4436,70,78,67,
4437,76,81,75,
4438,92,97,90,
4439,73,79,65,
4440,76,71,52,
4441,75,72,53,
4442,75,72,55,
4443,74,72,57,
4444,75,73,58,
4445,75,72,57,
4446,102,104,90,
4447,83,94,78,
4448,81,92,78,
4449,81,87,75,
4450,79,81,70,
4451,77,77,65,
4452,77,78,64,
4453,80,78,65,
4454,82,78,66,
4455,79,77,65,
4456,82,80,67,
4457,91,89,64,
4458,132,124,87,
4459,204,192,142,
4460,191,174,118,
4461,200,177,123,
4462,210,183,130,
4463,210,183,130,
4464,211,184,129,
4465,217,193,131,
4466,217,191,130,
4467,210,181,123,
4468,212,183,125,
4469,217,186,131,
4470,215,182,128,
4471,195,163,112,
4472,196,166,114,
4473,198,168,118,
4474,216,186,132,
4475,197,170,117,
4476,197,171,120,
4477,191,165,116,
4478,194,167,120,
4479,186,159,112,
4480,179,152,105,
4481,187,163,117,
4482,195,173,123,
4483,185,162,108,
4484,197,172,118,
4485,204,178,127,
4486,213,186,133,
4487,212,181,127,
4488,219,188,133,
4489,213,182,127,
4490,214,183,129,
4491,217,186,131,
4492,216,185,130,
4493,217,186,131,
4494,217,186,131,
4495,221,190,135,
4496,203,177,118,
4497,193,165,125,
4498,173,146,116,
4499,157,129,107,
4500,164,133,112,
4501,197,168,138,
4502,194,162,141,
4503,157,121,123,
4504,142,99,127,
4505,147,102,143,
4506,142,96,133,
4507,148,101,143,
4508,150,103,147,
4509,149,102,148,
4510,151,105,154,
4511,159,115,164,
4512,152,118,155,
4513,148,126,149,
4514,108,100,111,
4515,100,99,104,
4516,78,71,78,
4517,142,111,145,
4518,158,108,167,
4519,156,100,161,
4520,156,101,159,
4521,146,93,145,
4522,137,87,136,
4523,137,84,136,
4524,140,88,137,
4525,138,85,137,
4526,137,87,138,
4527,132,84,134,
4528,136,88,136,
4529,135,88,134,
4530,135,89,135,
4531,134,88,135,
4532,133,87,134,
4533,139,91,139,
4534,135,93,139,
4535,111,91,116,
4536,91,93,92,
4537,92,102,94,
4538,96,105,100,
4539,100,109,108,
4540,105,111,111,
4541,98,104,100,
4542,86,91,85,
4543,79,81,70,
4544,77,79,66,
4545,75,75,63,
4546,77,79,66,
4547,76,78,65,
4548,74,78,64,
4549,74,77,70,
4550,78,81,74,
4551,101,104,97,
4552,76,79,72,
4553,80,83,76,
4554,80,83,74,
4555,89,92,83,
4556,77,80,71,
4557,73,76,67,
4558,96,99,92,
4559,73,79,67,
4560,77,74,55,
4561,77,74,55,
4562,77,72,53,
4563,77,72,53,
4564,76,71,52,
4565,75,69,53,
4566,74,77,60,
4567,83,96,79,
4568,84,98,83,
4569,86,94,81,
4570,78,80,69,
4571,77,77,65,
4572,79,80,64,
4573,79,80,66,
4574,83,81,68,
4575,90,88,75,
4576,84,85,67,
4577,103,99,62,
4578,197,183,134,
4579,201,181,130,
4580,201,182,126,
4581,206,181,124,
4582,212,186,129,
4583,212,186,127,
4584,218,192,133,
4585,217,192,126,
4586,217,192,126,
4587,223,194,136,
4588,200,173,118,
4589,194,164,112,
4590,188,156,105,
4591,209,177,126,
4592,218,186,135,
4593,208,178,128,
4594,204,177,122,
4595,204,177,124,
4596,204,176,128,
4597,192,166,117,
4598,195,168,121,
4599,192,166,117,
4600,191,163,113,
4601,194,166,118,
4602,196,170,119,
4603,199,172,117,
4604,193,165,115,
4605,197,167,117,
4606,206,174,123,
4607,209,178,124,
4608,218,187,132,
4609,218,187,133,
4610,212,182,128,
4611,217,187,133,
4612,206,175,120,
4613,210,179,124,
4614,213,182,127,
4615,216,185,130,
4616,201,177,113,
4617,144,115,109,
4618,131,97,124,
4619,123,90,109,
4620,133,93,120,
4621,134,93,123,
4622,133,92,124,
4623,136,94,130,
4624,146,100,137,
4625,146,99,141,
4626,148,99,144,
4627,150,101,148,
4628,148,98,147,
4629,151,101,150,
4630,153,103,156,
4631,156,103,159,
4632,158,109,164,
4633,155,113,159,
4634,161,130,162,
4635,104,91,101,
4636,81,87,77,
4637,83,73,82,
4638,165,127,174,
4639,159,105,165,
4640,162,102,162,
4641,152,97,152,
4642,143,93,142,
4643,139,86,140,
4644,147,92,147,
4645,140,87,141,
4646,139,89,142,
4647,137,89,141,
4648,135,87,135,
4649,136,90,136,
4650,130,87,130,
4651,126,85,127,
4652,125,84,126,
4653,126,83,128,
4654,114,80,113,
4655,91,81,92,
4656,78,87,82,
4657,89,99,90,
4658,95,107,97,
4659,88,104,94,
4660,100,110,101,
4661,91,94,85,
4662,72,73,65,
4663,75,77,66,
4664,73,74,60,
4665,74,72,60,
4666,73,71,59,
4667,73,75,62,
4668,79,83,69,
4669,77,80,73,
4670,96,99,92,
4671,96,101,94,
4672,84,90,80,
