red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
66.5,64.5,55.0,133,129,110,2,66.5,64.5,55.0
63.0,69.0,57.0,63,69,57,1,63.0,69.0,57.0
75.0,65.0,53.0,75,65,53,1,75.0,65.0,53.0
70.66666666666667,68.22222222222223,56.22222222222222,636,614,506,9,70.66666666666667,68.22222222222223,56.22222222222222
73.27777777777777,68.44444444444444,56.44444444444444,1319,1232,1016,18,73.27777777777777,68.44444444444444,56.44444444444444
72.11111111111111,70.38888888888889,58.416666666666664,2596,2534,2103,36,72.11111111111111,70.38888888888889,58.416666666666664
73.47887323943662,70.85915492957747,59.70422535211268,5217,5031,4239,71,73.47887323943662,70.85915492957747,59.70422535211268
73.5934065934066,71.45054945054945,61.76923076923077,6697,6502,5621,91,73.5934065934066,71.45054945054945,61.76923076923077
74.1937984496124,72.53488372093024,63.03875968992248,9571,9357,8132,129,74.1937984496124,72.53488372093024,63.03875968992248
75.20143884892086,73.41726618705036,64.12230215827338,10453,10205,8913,139,75.20143884892086,73.41726618705036,64.12230215827338
75.87368421052632,74.42105263157895,65.58947368421053,14416,14140,12462,190,75.87368421052632,74.42105263157895,65.58947368421053
76.31854838709677,75.95967741935483,66.4758064516129,18927,18838,16486,248,76.31854838709677,75.95967741935483,66.4758064516129
76.73008849557522,76.53097345132744,68.50884955752213,17341,17296,15483,226,76.73008849557522,76.53097345132744,68.50884955752213
77.67049808429118,77.91570881226053,69.24137931034483,20272,20336,18072,261,77.67049808429118,77.91570881226053,69.24137931034483
77.84528301886793,79.10566037735849,70.83018867924528,20629,20963,18770,265,77.84528301886793,79.10566037735849,70.83018867924528
78.84297520661157,79.90082644628099,72.00413223140495,19080,19336,17425,242,78.84297520661157,79.90082644628099,72.00413223140495
79.512,80.908,73.384,19878,20227,18346,250,79.512,80.908,73.384
80.39655172413794,81.84482758620689,74.45689655172414,18652,18988,17274,232,80.39655172413794,81.84482758620689,74.45689655172414
80.85398230088495,83.26548672566372,75.66814159292035,18273,18818,17101,226,80.85398230088495,83.26548672566372,75.66814159292035
82.51485148514851,83.4950495049505,76.85148514851485,16668,16866,15524,202,82.51485148514851,83.4950495049505,76.85148514851485
82.96969696969697,84.54545454545455,78.33333333333333,16428,16740,15510,198,82.96969696969697,84.54545454545455,78.33333333333333
83.97687861271676,85.02312138728324,79.98265895953757,14528,14709,13837,173,83.97687861271676,85.02312138728324,79.98265895953757
85.34285714285714,85.70857142857143,80.83428571428571,14935,14999,14146,175,85.34285714285714,85.70857142857143,80.83428571428571
85.95121951219512,86.46951219512195,82.46951219512195,14096,14181,13525,164,85.95121951219512,86.46951219512195,82.46951219512195
86.89696969696969,86.61212121212121,84.4,14338,14291,13926,165,86.89696969696969,86.61212121212121,84.4
88.70322580645161,87.56129032258065,84.75483870967741,13749,13572,13137,155,88.70322580645161,87.56129032258065,84.75483870967741
91.06586826347305,87.89820359281437,85.08383233532935,15208,14679,14209,167,91.06586826347305,87.89820359281437,85.08383233532935
92.40555555555555,88.01666666666667,86.68333333333334,16633,15843,15603,180,92.40555555555555,88.01666666666667,86.68333333333334
94.30232558139535,88.75,86.94767441860465,16220,15265,14955,172,94.30232558139535,88.75,86.94767441860465
96.95092024539878,87.93865030674847,88.15337423312883,15803,14334,14369,163,96.95092024539878,87.93865030674847,88.15337423312883
96.94478527607362,88.97546012269939,90.04294478527608,15802,14503,14677,163,96.94478527607362,88.97546012269939,90.04294478527608
98.11920529801324,90.60264900662251,90.25165562913908,14816,13681,13628,151,98.11920529801324,90.60264900662251,90.25165562913908
103.88590604026845,89.94630872483222,88.0738255033557,15479,13402,13123,149,103.88590604026845,89.94630872483222,88.0738255033557
102.35164835164835,91.21978021978022,91.44505494505495,18628,16602,16643,182,102.35164835164835,91.21978021978022,91.44505494505495
110.42142857142858,89.36428571428571,88.22857142857143,15459,12511,12352,140,110.42142857142858,89.36428571428571,88.22857142857143
110.57668711656441,89.83435582822086,90.51533742331289,18024,14643,14754,163,110.57668711656441,89.83435582822086,90.51533742331289
114.81286549707602,89.82456140350877,89.39766081871345,19633,15360,15287,171,114.81286549707602,89.82456140350877,89.39766081871345
118.18589743589743,90.6025641025641,88.1923076923077,18437,14134,13758,156,118.18589743589743,90.6025641025641,88.1923076923077
125.19161676646706,88.07185628742515,86.7125748502994,20907,14708,14481,167,125.19161676646706,88.07185628742515,86.7125748502994
121.24675324675324,90.43506493506493,91.28571428571429,18672,13927,14058,154,121.24675324675324,90.43506493506493,91.28571428571429
120.9673202614379,91.66666666666667,93.3202614379085,18508,14025,14278,153,120.9673202614379,91.66666666666667,93.3202614379085
125.96323529411765,89.6029411764706,93.38970588235294,17131,12186,12701,136,125.96323529411765,89.6029411764706,93.38970588235294
125.10309278350516,90.95876288659794,95.94845360824742,12135,8823,9307,97,125.10309278350516,90.95876288659794,95.94845360824742
124.68992248062015,93.31782945736434,97.10077519379846,16085,12038,12526,129,124.68992248062015,93.31782945736434,97.10077519379846
124.91333333333333,94.94666666666667,98.10666666666667,18737,14242,14716,150,124.91333333333333,94.94666666666667,98.10666666666667
129.8238993710692,92.9874213836478,98.23270440251572,20642,14785,15619,159,129.8238993710692,92.9874213836478,98.23270440251572
130.78472222222223,93.75,99.43055555555556,18833,13500,14318,144,130.78472222222223,93.75,99.43055555555556
136.8943661971831,94.38732394366197,95.73239436619718,19439,13403,13594,142,136.8943661971831,94.38732394366197,95.73239436619718
139.206106870229,93.8473282442748,97.0381679389313,18236,12294,12712,131,139.206106870229,93.8473282442748,97.0381679389313
143.22627737226279,93.30656934306569,96.58394160583941,19622,12783,13232,137,143.22627737226279,93.30656934306569,96.58394160583941
148.70552147239263,92.4478527607362,94.84049079754601,24239,15069,15459,163,148.70552147239263,92.4478527607362,94.84049079754601
139.80434782608697,97.83333333333333,101.22463768115942,19293,13501,13969,138,139.80434782608697,97.83333333333333,101.22463768115942
137.5891472868217,99.7751937984496,104.53488372093024,17749,12871,13485,129,137.5891472868217,99.7751937984496,104.53488372093024
128.66666666666666,101.59770114942529,114.80459770114942,11194,8839,9988,87,128.66666666666666,101.59770114942529,114.80459770114942
132.84931506849315,99.45205479452055,115.54794520547945,9698,7260,8435,73,132.84931506849315,99.45205479452055,115.54794520547945
129.75,102.63461538461539,118.5576923076923,13494,10674,12330,104,129.75,102.63461538461539,118.5576923076923
128.16842105263157,102.94736842105263,123.01052631578948,12176,9780,11686,95,128.16842105263157,102.94736842105263,123.01052631578948
132.74444444444444,102.08888888888889,122.13333333333334,11947,9188,10992,90,132.74444444444444,102.08888888888889,122.13333333333334
131.22988505747125,104.54022988505747,124.183908045977,11417,9095,10804,87,131.22988505747125,104.54022988505747,124.183908045977
130.5,105.69117647058823,126.8529411764706,8874,7187,8626,68,130.5,105.69117647058823,126.8529411764706
132.66233766233765,105.66233766233766,127.76623376623377,10215,8136,9838,77,132.66233766233765,105.66233766233766,127.76623376623377
135.28985507246378,104.21739130434783,129.36231884057972,9335,7191,8926,69,135.28985507246378,104.21739130434783,129.36231884057972
135.84745762711864,107.27118644067797,128.89830508474577,8015,6329,7605,59,135.84745762711864,107.27118644067797,128.89830508474577
138.6969696969697,111.5909090909091,124.56060606060606,9154,7365,8221,66,138.6969696969697,111.5909090909091,124.56060606060606
