red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,23,5.026167368717742,98.68555758683729,106.89579524680073,101.23217550274224
104,110,110,29,7.316199951686381,106.82327586206897,116.22629310344827,112.60560344827586
104,110,110,29,7.316199951686381,106.82327586206897,116.22629310344827,112.60560344827586
95,101,101,23,6.956841365315555,98.68555758683729,106.89579524680073,101.23217550274224
94,100,98,22,6.68413794413146,91.61312849162012,98.69134078212291,91.89525139664805
91,97,93,22,2.11116784389981,91.61312849162012,98.69134078212291,91.89525139664805
94,101,94,22,3.931542911519155,91.61312849162012,98.69134078212291,91.89525139664805
97,103,99,23,4.795928737854898,98.68555758683729,106.89579524680073,101.23217550274224
93,99,97,22,5.298786785383998,91.61312849162012,98.69134078212291,91.89525139664805
90,96,94,22,3.7782886892489462,91.61312849162012,98.69134078212291,91.89525139664805
86,92,90,21,6.220489220396136,85.72648514851485,91.85891089108911,83.7871287128713
84,90,88,21,4.917782544090939,85.72648514851485,91.85891089108911,83.7871287128713
87,93,91,22,7.380636113618729,91.61312849162012,98.69134078212291,91.89525139664805
89,95,93,22,4.655631725135556,91.61312849162012,98.69134078212291,91.89525139664805
92,98,96,22,4.1805002975412195,91.61312849162012,98.69134078212291,91.89525139664805
91,96,92,22,2.7622842038172837,91.61312849162012,98.69134078212291,91.89525139664805
81,86,80,20,3.1586817413902724,82.77935483870968,83.74709677419355,78.6825806451613
90,95,89,22,4.960913318133349,91.61312849162012,98.69134078212291,91.89525139664805
81,86,80,20,3.1586817413902724,82.77935483870968,83.74709677419355,78.6825806451613
74,77,70,18,3.9576358905031643,77.91256830601093,76.48907103825137,69.69398907103825
74,75,67,17,2.587445662234262,75.25174825174825,74.26923076923077,64.85664335664336
78,78,68,18,2.2715962672450445,77.91256830601093,76.48907103825137,69.69398907103825
79,77,65,17,4.639724440867443,75.25174825174825,74.26923076923077,64.85664335664336
74,74,64,17,1.540518332684362,75.25174825174825,74.26923076923077,64.85664335664336
76,76,66,17,2.2051546936319584,75.25174825174825,74.26923076923077,64.85664335664336
75,75,65,17,0.786099216442703,75.25174825174825,74.26923076923077,64.85664335664336
74,74,66,17,1.7165731288713468,75.25174825174825,74.26923076923077,64.85664335664336
77,76,72,18,2.527777244553597,77.91256830601093,76.48907103825137,69.69398907103825
84,84,84,20,5.461582485563873,82.77935483870968,83.74709677419355,78.6825806451613
98,102,101,23,4.949010584706848,98.68555758683729,106.89579524680073,101.23217550274224
85,89,88,21,5.142901577525479,85.72648514851485,91.85891089108911,83.7871287128713
95,99,98,22,6.988141715591028,91.61312849162012,98.69134078212291,91.89525139664805
88,92,91,21,7.56401269970262,85.72648514851485,91.85891089108911,83.7871287128713
81,86,82,20,4.387134345190161,82.77935483870968,83.74709677419355,78.6825806451613
84,89,83,21,3.4312816937489563,85.72648514851485,91.85891089108911,83.7871287128713
80,85,81,20,3.829492430972563,82.77935483870968,83.74709677419355,78.6825806451613
79,84,80,20,4.010371154270537,82.77935483870968,83.74709677419355,78.6825806451613
100,104,103,23,3.6384876558838797,98.68555758683729,106.89579524680073,101.23217550274224
92,94,93,22,4.835164668820886,91.61312849162012,98.69134078212291,91.89525139664805
75,75,73,18,4.650816590293894,77.91256830601093,76.48907103825137,69.69398907103825
78,75,70,18,1.5227013977523107,77.91256830601093,76.48907103825137,69.69398907103825
77,74,65,17,1.7746606744841011,75.25174825174825,74.26923076923077,64.85664335664336
75,72,63,17,2.942772505656853,75.25174825174825,74.26923076923077,64.85664335664336
74,71,62,15,2.5639361241630967,73.52742616033755,70.92827004219409,59.48101265822785
73,70,61,15,1.8566599501005716,73.52742616033755,70.92827004219409,59.48101265822785
70,70,60,15,3.6842595523101354,73.52742616033755,70.92827004219409,59.48101265822785
72,74,63,17,3.7541279218503383,75.25174825174825,74.26923076923077,64.85664335664336
75,78,67,18,4.245413711230469,77.91256830601093,76.48907103825137,69.69398907103825
70,74,60,15,4.706124532057752,73.52742616033755,70.92827004219409,59.48101265822785
70,73,62,15,4.804175013747165,73.52742616033755,70.92827004219409,59.48101265822785
76,76,68,18,2.6012894837773803,77.91256830601093,76.48907103825137,69.69398907103825
74,71,64,17,3.603967445569015,75.25174825174825,74.26923076923077,64.85664335664336
77,74,67,17,2.7790010944558703,75.25174825174825,74.26923076923077,64.85664335664336
77,74,65,17,1.7746606744841011,75.25174825174825,74.26923076923077,64.85664335664336
72,69,60,15,2.5140811227616413,73.52742616033755,70.92827004219409,59.48101265822785
72,72,62,15,3.1347939335386195,73.52742616033755,70.92827004219409,59.48101265822785
72,72,62,15,3.1347939335386195,73.52742616033755,70.92827004219409,59.48101265822785
72,73,65,17,3.493617690232354,75.25174825174825,74.26923076923077,64.85664335664336
76,77,69,18,2.0977575550648275,77.91256830601093,76.48907103825137,69.69398907103825
77,78,70,18,1.791460278440604,77.91256830601093,76.48907103825137,69.69398907103825
75,77,66,17,2.9711516601954227,75.25174825174825,74.26923076923077,64.85664335664336
77,78,70,18,1.791460278440604,77.91256830601093,76.48907103825137,69.69398907103825
78,83,76,19,3.193257642257314,77.8875,82.32613636363637,72.88068181818181
82,91,86,21,4.4182823375529,85.72648514851485,91.85891089108911,83.7871287128713
86,98,98,22,8.321845892023683,91.61312849162012,98.69134078212291,91.89525139664805
103,109,105,23,6.102343191104493,98.68555758683729,106.89579524680073,101.23217550274224
88,88,80,21,5.865356505204423,85.72648514851485,91.85891089108911,83.7871287128713
75,71,60,15,1.5629992837569568,73.52742616033755,70.92827004219409,59.48101265822785
76,69,59,15,3.172257859251307,73.52742616033755,70.92827004219409,59.48101265822785
73,73,65,17,2.5887966436180228,75.25174825174825,74.26923076923077,64.85664335664336
74,76,71,18,4.153678583644264,77.91256830601093,76.48907103825137,69.69398907103825
79,80,74,19,2.8109499861043736,77.8875,82.32613636363637,72.88068181818181
75,76,70,18,2.969155992244203,77.91256830601093,76.48907103825137,69.69398907103825
77,78,72,18,2.904027142620658,77.91256830601093,76.48907103825137,69.69398907103825
85,86,80,20,3.426723162689809,82.77935483870968,83.74709677419355,78.6825806451613
82,84,81,20,2.4580045712782024,82.77935483870968,83.74709677419355,78.6825806451613
88,94,94,22,6.284372881543441,91.61312849162012,98.69134078212291,91.89525139664805
96,102,102,23,5.636540171896684,98.68555758683729,106.89579524680073,101.23217550274224
96,100,103,23,7.608509386937992,98.68555758683729,106.89579524680073,101.23217550274224
96,95,101,22,10.759511398341388,91.61312849162012,98.69134078212291,91.89525139664805
93,92,97,22,8.529707635475017,91.61312849162012,98.69134078212291,91.89525139664805
89,89,89,21,6.7869947710494545,85.72648514851485,91.85891089108911,83.7871287128713
78,78,76,19,5.334628197559638,77.8875,82.32613636363637,72.88068181818181
88,87,85,21,5.499903779759164,85.72648514851485,91.85891089108911,83.7871287128713
80,79,75,19,4.474075202238925,77.8875,82.32613636363637,72.88068181818181
79,79,69,18,2.8229227355279387,77.91256830601093,76.48907103825137,69.69398907103825
77,77,69,18,1.2551693701687086,77.91256830601093,76.48907103825137,69.69398907103825
78,75,70,18,1.5227013977523107,77.91256830601093,76.48907103825137,69.69398907103825
75,72,63,17,2.942772505656853,75.25174825174825,74.26923076923077,64.85664335664336
75,72,63,17,2.942772505656853,75.25174825174825,74.26923076923077,64.85664335664336
68,64,53,15,10.979840199732307,73.52742616033755,70.92827004219409,59.48101265822785
76,69,61,15,3.484131067091234,73.52742616033755,70.92827004219409,59.48101265822785
75,66,57,15,5.710669236817407,73.52742616033755,70.92827004219409,59.48101265822785
72,68,59,15,3.337539406908973,73.52742616033755,70.92827004219409,59.48101265822785
78,76,64,17,3.3589116752941695,75.25174825174825,74.26923076923077,64.85664335664336
70,70,60,15,3.6842595523101354,73.52742616033755,70.92827004219409,59.48101265822785
75,76,71,18,3.2292273323820306,77.91256830601093,76.48907103825137,69.69398907103825
68,75,67,17,7.5970951077365045,75.25174825174825,74.26923076923077,64.85664335664336
70,82,72,19,7.943212299980532,77.8875,82.32613636363637,72.88068181818181
76,87,79,20,7.5260737753774745,82.77935483870968,83.74709677419355,78.6825806451613
77,87,86,20,9.875573287801933,82.77935483870968,83.74709677419355,78.6825806451613
97,106,103,23,2.601683484945891,98.68555758683729,106.89579524680073,101.23217550274224
82,87,80,20,3.595047582103166,82.77935483870968,83.74709677419355,78.6825806451613
79,84,77,20,4.144702723474022,82.77935483870968,83.74709677419355,78.6825806451613
90,92,87,21,5.348399501736332,85.72648514851485,91.85891089108911,83.7871287128713
100,101,93,22,8.768693777237932,91.61312849162012,98.69134078212291,91.89525139664805
93,93,81,21,7.8723687103286535,85.72648514851485,91.85891089108911,83.7871287128713
78,78,68,18,2.2715962672450445,77.91256830601093,76.48907103825137,69.69398907103825
69,72,61,15,4.894232859624842,73.52742616033755,70.92827004219409,59.48101265822785
69,73,59,15,5.002102141375641,73.52742616033755,70.92827004219409,59.48101265822785
69,73,58,15,5.194521262754679,73.52742616033755,70.92827004219409,59.48101265822785
85,91,77,21,6.879725630788345,85.72648514851485,91.85891089108911,83.7871287128713
75,77,64,17,2.873032477097232,75.25174825174825,74.26923076923077,64.85664335664336
76,76,64,17,2.0710578575743597,75.25174825174825,74.26923076923077,64.85664335664336
74,74,62,17,3.1304584584226713,75.25174825174825,74.26923076923077,64.85664335664336
77,75,63,17,2.6528347852198144,75.25174825174825,74.26923076923077,64.85664335664336
78,76,64,17,3.3589116752941695,75.25174825174825,74.26923076923077,64.85664335664336
80,76,64,17,5.125943292256994,75.25174825174825,74.26923076923077,64.85664335664336
81,78,61,17,7.8635065457386775,75.25174825174825,74.26923076923077,64.85664335664336
76,73,54,15,6.359810230683576,73.52742616033755,70.92827004219409,59.48101265822785
97,103,103,23,4.598209264120608,98.68555758683729,106.89579524680073,101.23217550274224
95,101,101,23,6.956841365315555,98.68555758683729,106.89579524680073,101.23217550274224
99,105,105,23,4.229588052177605,98.68555758683729,106.89579524680073,101.23217550274224
99,105,105,23,4.229588052177605,98.68555758683729,106.89579524680073,101.23217550274224
94,100,100,23,8.427615229406603,98.68555758683729,106.89579524680073,101.23217550274224
90,96,94,22,3.7782886892489462,91.61312849162012,98.69134078212291,91.89525139664805
91,97,95,22,3.588317722627746,91.61312849162012,98.69134078212291,91.89525139664805
96,102,100,23,5.718329049676491,98.68555758683729,106.89579524680073,101.23217550274224
92,98,96,22,4.1805002975412195,91.61312849162012,98.69134078212291,91.89525139664805
94,100,98,22,6.68413794413146,91.61312849162012,98.69134078212291,91.89525139664805
85,91,89,21,5.332873113624122,85.72648514851485,91.85891089108911,83.7871287128713
86,92,90,21,6.220489220396136,85.72648514851485,91.85891089108911,83.7871287128713
89,95,93,22,4.655631725135556,91.61312849162012,98.69134078212291,91.89525139664805
88,94,94,22,6.284372881543441,91.61312849162012,98.69134078212291,91.89525139664805
84,90,88,21,4.917782544090939,85.72648514851485,91.85891089108911,83.7871287128713
91,96,92,22,2.7622842038172837,91.61312849162012,98.69134078212291,91.89525139664805
89,94,88,21,5.7487778298612415,85.72648514851485,91.85891089108911,83.7871287128713
83,88,82,21,5.051608017929263,85.72648514851485,91.85891089108911,83.7871287128713
78,83,77,19,4.175587471658463,77.8875,82.32613636363637,72.88068181818181
76,79,72,18,3.9090111512499703,77.91256830601093,76.48907103825137,69.69398907103825
72,73,65,17,3.493617690232354,75.25174825174825,74.26923076923077,64.85664335664336
76,76,66,17,2.2051546936319584,75.25174825174825,74.26923076923077,64.85664335664336
75,73,61,15,2.9610574590495067,73.52742616033755,70.92827004219409,59.48101265822785
74,74,64,17,1.540518332684362,75.25174825174825,74.26923076923077,64.85664335664336
77,77,67,18,2.889880003038655,77.91256830601093,76.48907103825137,69.69398907103825
80,80,70,18,4.096051261905723,77.91256830601093,76.48907103825137,69.69398907103825
