red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
71.95495495495496,69.97297297297297,58.88288288288288,7987,7767,6536,111,71.95495495495496,69.97297297297297,58.88288288288288
79.58666666666667,68.13333333333334,68.08,5969,5110,5106,75,79.58666666666667,68.13333333333334,68.08
82.84782608695652,77.54347826086956,57.54347826086956,3811,3567,2647,46,82.84782608695652,77.54347826086956,57.54347826086956
74.800796812749,72.7609561752988,61.852589641434264,18775,18263,15525,251,74.800796812749,72.7609561752988,61.852589641434264
74.37988826815642,74.68435754189944,66.43296089385476,26628,26737,23783,358,74.37988826815642,74.68435754189944,66.43296089385476
78.1374269005848,78.19298245614036,66.21052631578948,26723,26742,22644,342,78.1374269005848,78.19298245614036,66.21052631578948
77.89615384615385,76.3923076923077,70.4,20253,19862,18304,260,77.89615384615385,76.3923076923077,70.4
76.83492063492064,80.97619047619048,71.86507936507937,48406,51015,45275,630,76.83492063492064,80.97619047619048,71.86507936507937
87.20994475138122,71.54143646408839,78.70165745856353,15785,12949,14245,181,87.20994475138122,71.54143646408839,78.70165745856353
80.57859531772576,84.10535117056857,74.77424749163879,48186,50295,44715,598,80.57859531772576,84.10535117056857,74.77424749163879
81.07262569832402,87.84543761638734,80.42271880819366,43536,47173,43187,537,81.07262569832402,87.84543761638734,80.42271880819366
89.66519823788546,90.45374449339207,79.29074889867842,20354,20533,17999,227,89.66519823788546,90.45374449339207,79.29074889867842
