red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
73.52742616033755,70.92827004219409,59.48101265822785,17426,16810,14097,237,73.52742616033755,70.92827004219409,59.48101265822785
92.47422680412372,79.55670103092784,63.65979381443299,8970,7717,6175,97,92.47422680412372,79.55670103092784,63.65979381443299
75.25174825174825,74.26923076923077,64.85664335664336,43044,42482,37098,572,75.25174825174825,74.26923076923077,64.85664335664336
77.91256830601093,76.48907103825137,69.69398907103825,57032,55990,51016,732,77.91256830601093,76.48907103825137,69.69398907103825
77.8875,82.32613636363637,72.88068181818181,68541,72447,64135,880,77.8875,82.32613636363637,72.88068181818181
82.77935483870968,83.74709677419355,78.6825806451613,64154,64904,60979,775,82.77935483870968,83.74709677419355,78.6825806451613
85.72648514851485,91.85891089108911,83.7871287128713,69267,74222,67700,808,85.72648514851485,91.85891089108911,83.7871287128713
91.61312849162012,98.69134078212291,91.89525139664805,65595,70663,65797,716,91.61312849162012,98.69134078212291,91.89525139664805
98.68555758683729,106.89579524680073,101.23217550274224,53981,58472,55374,547,98.68555758683729,106.89579524680073,101.23217550274224
102.483922829582,76.54983922829582,95.62379421221866,63745,47614,59478,622,102.483922829582,76.54983922829582,95.62379421221866
155.28,77.05777777777777,64.02222222222223,69876,34676,28810,450,155.28,77.05777777777777,64.02222222222223
121.97723292469352,82.45008756567425,113.48861646234676,69649,47079,64802,571,121.97723292469352,82.45008756567425,113.48861646234676
183.5030303030303,78.48282828282828,67.04242424242425,90834,38849,33186,495,183.5030303030303,78.48282828282828,67.04242424242425
131.9402985074627,115.92537313432835,90.23134328358209,17680,15534,12091,134,131.9402985074627,115.92537313432835,90.23134328358209
106.82327586206897,116.22629310344827,112.60560344827586,49566,53929,52249,464,106.82327586206897,116.22629310344827,112.60560344827586
133.64776632302406,91.18556701030928,133.87285223367698,77783,53070,77914,582,133.64776632302406,91.18556701030928,133.87285223367698
