red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
,,,0,0,0,0,,,
79.00855675984027,79.53622361665715,71.58043354249857,277004,278854,250961,3506,79.00855675984027,79.53622361665715,71.58043354249857
94.96992481203007,94.00672734467749,93.07241788682232,239989,237555,235194,2527,94.96992481203007,94.00672734467749,93.07241788682232
169.98635886673662,78.06190975865687,65.80377754459602,161997,74393,62711,953,169.98635886673662,78.06190975865687,65.80377754459602
120.45929887106358,100.05169340463458,117.86571598336305,202733,168387,198368,1683,120.45929887106358,100.05169340463458,117.86571598336305
149.0299727520436,103.63396911898275,152.2534059945504,164082,114101,167631,1101,149.0299727520436,103.63396911898275,152.2534059945504
161.7913862718708,146.16823687752355,106.7563930013459,120211,108603,79320,743,161.7913862718708,146.16823687752355,106.7563930013459
192.30239520958085,172.21706586826346,122.02245508982035,256916,230082,163022,1336,192.30239520958085,172.21706586826346,122.02245508982035
216.2357071213641,192.77231695085257,136.55265797392175,215587,192194,136143,997,216.2357071213641,192.77231695085257,136.55265797392175
177.083850931677,148.1086956521739,179.7111801242236,57021,47691,57867,322,177.083850931677,148.1086956521739,179.7111801242236
214.10490693739425,202.71742808798646,204.39932318104906,126536,119806,120800,591,214.10490693739425,202.71742808798646,204.39932318104906
228.02340093603743,215.78159126365054,219.61778471138845,146163,138316,140775,641,228.02340093603743,215.78159126365054,219.61778471138845
,,,0,0,0,0,,,
