red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
102.80758050089446,87.75995080500894,87.85096153846153,919511,784925,785739,8944,102.80758050089446,87.75995080500894,87.85096153846153
181.70536828963796,155.83820224719102,132.31011235955057,727730,624132,529902,4005,181.70536828963796,155.83820224719102,132.31011235955057
221.22536181943488,207.39145416953824,204.79048931771192,320998,300925,297151,1451,221.22536181943488,207.39145416953824,204.79048931771192
