red,green,blue,closest_id,closest_dist
79,85,75,4,7.259661513281855
85,87,82,5,14.28307863778513
104,106,103,5,20.204949746936624
91,91,89,5,4.247103789029861
76,75,70,4,4.874872666633732
77,74,67,4,6.546497187184776
76,73,64,4,9.496817967409863
76,74,62,4,10.51009044247722
76,74,62,4,10.51009044247722
76,73,64,4,9.496817967409863
72,70,58,4,17.03577564096748
73,73,61,4,12.831274213128973
84,88,74,4,10.928553886596314
87,93,81,5,12.660878544394288
73,79,67,4,6.76240893448029
75,76,68,4,5.491554898934583
75,72,65,4,9.835367339961593
77,74,67,4,6.546497187184776
73,70,61,4,14.491593750908361
75,72,63,4,11.141295443134128
73,70,61,4,14.491593750908361
72,72,62,4,13.083825783706116
73,74,66,4,8.946228283370452
75,76,68,4,5.491554898934583
75,76,68,4,5.491554898934583
77,79,68,4,3.2483533552832
77,80,69,4,2.5948466168320383
79,84,77,4,7.901280635725678
79,88,85,4,16.744190830926335
90,102,102,5,14.398989664804382
104,110,106,7,22.637943852918344
101,104,97,5,14.389124586728778
84,81,72,4,5.888824190401579
73,69,58,4,17.24003693257295
70,70,62,4,15.286278454526459
74,76,71,4,5.494223979632866
71,72,66,4,11.424483023276121
75,76,70,4,4.771075535850834
75,76,70,4,4.771075535850834
82,83,77,4,8.074080334825561
83,85,82,4,13.391873277977666
88,94,92,5,5.964925806834711
97,103,103,5,15.623106824612195
102,106,109,7,21.504299072018842
94,93,98,5,6.343796249111325
84,84,86,5,14.30764881844662
90,90,90,5,4.980610970163614
80,80,78,4,7.355211908629186
78,77,73,4,3.031427305102109
77,76,72,4,3.6233222532920157
76,76,66,4,6.279398582511145
75,75,67,4,6.631421096862073
77,74,69,4,5.609154301906846
75,72,63,4,11.141295443134128
75,72,63,4,11.141295443134128
72,68,57,4,18.898618628925284
76,72,63,4,10.863154332974089
73,69,58,4,17.24003693257295
76,71,65,4,10.282785248126187
74,74,62,4,11.167035653539665
77,79,68,4,3.2483533552832
