red,green,blue,closest_id,closest_dist
100,106,106,47,3.9674750478083727
104,110,110,58,6.468726245907869
104,110,110,58,6.468726245907869
95,101,101,46,4.874598122429687
94,100,98,46,3.2210541754622026
91,97,93,44,2.6642015611357386
94,101,94,46,3.060425009245869
97,103,99,46,3.323041638559394
93,99,97,46,4.16673815534347
90,96,94,44,3.8324144938494134
86,92,90,43,4.054731523573717
84,90,88,43,4.0831572379063745
87,93,91,43,5.032413444626748
89,95,93,44,3.7514770043884966
92,98,96,46,5.508922191239201
91,96,92,44,2.1902412995439664
81,86,80,41,1.5207804829554523
90,95,89,44,2.8249042071363
81,86,80,41,1.5207804829554523
74,77,70,37,4.688347624512912
74,75,67,35,2.984613979213218
78,78,68,36,2.9368321017538883
79,77,65,36,2.248149615500336
74,74,64,35,2.480201376054878
76,76,66,36,1.2891934807968999
75,75,65,36,2.67965265462667
74,74,66,35,1.753036792602853
77,76,72,37,2.6224330634763153
84,84,84,41,6.1639837340906904
98,102,101,46,5.546931442539082
85,89,88,43,4.543485156442862
95,99,98,46,3.9658541312088804
88,92,91,43,5.412602831818481
81,86,82,41,2.2143085361702735
84,89,83,42,3.871235307487318
80,85,81,41,2.39645138214715
79,84,80,41,3.5472237257654653
100,104,103,47,5.205466280496919
92,94,93,44,4.562172411563342
75,75,73,37,4.5954906683354935
78,75,70,37,0.4711504628255078
77,74,65,36,2.9420203743714635
75,72,63,34,2.0907558000590183
74,71,62,34,1.3459016320074186
73,70,61,34,2.291646262100685
70,70,60,31,1.4149990184527415
72,74,63,34,3.05812378093162
75,78,67,36,2.582354696520532
70,74,60,34,4.396384607211181
70,73,62,34,3.912067761369598
76,76,68,36,2.7307923397077944
74,71,64,35,2.242690289663222
77,74,67,36,3.232752829229966
77,74,65,36,2.9420203743714635
72,69,60,31,3.07715597409181
72,72,62,34,1.8862297543761168
72,72,62,34,1.8862297543761168
72,73,65,35,2.62829233627368
76,77,69,37,3.049048278118741
77,78,70,37,3.0443324013837474
75,77,66,36,1.8814928842891652
77,78,70,37,3.0443324013837474
78,83,76,40,3.4492643535858885
82,91,86,43,4.469428093984568
86,98,98,44,8.731566089833043
103,109,105,47,2.8875105010589177
88,88,80,42,2.3129148704323845
75,71,60,34,2.1449766635678773
76,69,59,32,2.02667754588637
73,73,65,35,1.753036792602853
74,76,71,37,4.559078980389052
79,80,74,38,3.517972398723392
75,76,70,37,3.4379767172053364
77,78,72,38,2.9558470958117486
85,86,80,42,4.203505670757691
82,84,81,41,3.770499096607943
88,94,94,44,5.446375915116826
96,102,102,46,5.724962008717823
96,100,103,46,7.175482530939938
96,95,101,46,8.96822850877096
93,92,97,44,8.895760525340808
89,89,89,43,5.78697161729231
78,78,76,38,5.556967626023734
88,87,85,42,5.6518346702845355
80,79,75,39,4.4049886034436865
79,79,69,38,3.774095781920746
77,77,69,37,2.361843474428641
78,75,70,37,0.4711504628255078
75,72,63,34,2.0907558000590183
75,72,63,34,2.0907558000590183
68,64,53,31,8.218001919904596
76,69,61,32,2.8692197327845075
75,66,57,32,2.9866238254925914
72,68,59,31,3.235566239298607
78,76,64,36,2.1383861232697994
70,70,60,31,1.4149990184527415
75,76,71,37,3.61480433008864
68,75,67,35,7.065169230605091
70,82,72,38,6.908110773564209
76,87,79,41,4.495021889815889
77,87,86,41,6.535886137493603
97,106,103,47,4.721291822677064
82,87,80,41,1.7826277894419273
79,84,77,40,3.000690578601402
90,92,87,43,4.2221309663411875
100,101,93,46,6.302301978323603
93,93,81,42,7.1192604353257085
78,78,68,36,2.9368321017538883
69,72,61,31,3.2148958856478576
69,73,59,31,3.568691014301396
69,73,58,31,3.724095714249147
85,91,77,42,3.8738399188143178
75,77,64,36,2.396833015033216
76,76,64,36,1.9664213330951439
74,74,62,34,1.9947218647903635
77,75,63,36,3.176667078985674
78,76,64,36,2.1383861232697994
80,76,64,36,3.6439782607932782
81,78,61,36,6.276988284395032
76,73,54,33,3.121988344707555
97,103,103,46,6.912935204913308
95,101,101,46,4.874598122429687
99,105,105,47,4.606223837978129
99,105,105,47,4.606223837978129
94,100,100,46,4.555021812146198
90,96,94,44,3.8324144938494134
91,97,95,44,4.615324689648434
96,102,100,46,3.7950172981683843
92,98,96,46,5.508922191239201
94,100,98,46,3.2210541754622026
85,91,89,43,3.6819166719067433
86,92,90,43,4.054731523573717
