red,green,blue,closest_id,closest_dist,r_cluster,g_cluster,b_cluster
100,106,106,23,9.393561800226419,98.87745098039215,99.12990196078431,99.69281045751634
104,110,110,23,15.831541179087099,98.87745098039215,99.12990196078431,99.69281045751634
104,110,110,23,15.831541179087099,98.87745098039215,99.12990196078431,99.69281045751634
95,101,101,23,4.498959577680275,98.87745098039215,99.12990196078431,99.69281045751634
94,100,98,23,5.235666711036148,98.87745098039215,99.12990196078431,99.69281045751634
91,97,93,22,7.145029893849236,91.45718232044199,90.79005524861878,89.49585635359117
94,101,94,23,7.726246543284405,98.87745098039215,99.12990196078431,99.69281045751634
97,103,99,23,4.35688734614066,98.87745098039215,99.12990196078431,99.69281045751634
93,99,97,23,6.466261107196159,98.87745098039215,99.12990196078431,99.69281045751634
90,96,94,22,7.039475450268894,91.45718232044199,90.79005524861878,89.49585635359117
86,92,90,22,5.612393963020945,91.45718232044199,90.79005524861878,89.49585635359117
84,90,88,21,4.347005859562345,85.09147095179233,89.63164400494438,83.80840543881335
87,93,91,22,5.197381855400859,91.45718232044199,90.79005524861878,89.49585635359117
89,95,93,22,6.003365927564495,91.45718232044199,90.79005524861878,89.49585635359117
92,98,96,23,7.88751288454246,98.87745098039215,99.12990196078431,99.69281045751634
91,96,92,22,5.798558043894976,91.45718232044199,90.79005524861878,89.49585635359117
81,86,80,20,2.987297019544136,81.41820418204182,84.84255842558426,77.2779827798278
90,95,89,22,4.4825091910767645,91.45718232044199,90.79005524861878,89.49585635359117
81,86,80,20,2.987297019544136,81.41820418204182,84.84255842558426,77.2779827798278
74,77,70,18,3.9778627913756743,76.88235294117646,76.00576701268743,67.44521337946944
74,75,67,18,3.085083583078002,76.88235294117646,76.00576701268743,67.44521337946944
78,78,68,18,2.3524218053109114,76.88235294117646,76.00576701268743,67.44521337946944
79,77,65,18,3.3840799000527153,76.88235294117646,76.00576701268743,67.44521337946944
74,74,64,17,2.2589993480060784,74.64547677261614,72.44498777506112,62.49388753056235
76,76,66,18,1.693287241856963,76.88235294117646,76.00576701268743,67.44521337946944
