red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
66.5,64.5,55.0,0,0,0,0,0,0,0
63.0,69.0,57.0,0,0,0,0,0,0,0
75.0,65.0,53.0,0,0,0,0,0,0,0
70.66666666666667,68.22222222222223,56.22222222222222,0,0,0,0,0,0,0
73.27777777777777,68.44444444444444,56.44444444444444,0,0,0,0,0,0,0
72.11111111111111,70.38888888888889,58.416666666666664,0,0,0,0,0,0,0
73.47887323943662,70.85915492957747,59.70422535211268,0,0,0,0,0,0,0
73.5934065934066,71.45054945054945,61.76923076923077,0,0,0,0,0,0,0
74.1937984496124,72.53488372093024,63.03875968992248,0,0,0,0,0,0,0
75.20143884892086,73.41726618705036,64.12230215827338,0,0,0,0,0,0,0
75.87368421052632,74.42105263157895,65.58947368421053,0,0,0,0,0,0,0
76.31854838709677,75.95967741935483,66.4758064516129,0,0,0,0,0,0,0
76.73008849557522,76.53097345132744,68.50884955752213,0,0,0,0,0,0,0
77.67049808429118,77.91570881226053,69.24137931034483,0,0,0,0,0,0,0
77.84528301886793,79.10566037735849,70.83018867924528,0,0,0,0,0,0,0
78.84297520661157,79.90082644628099,72.00413223140495,0,0,0,0,0,0,0
79.512,80.908,73.384,0,0,0,0,0,0,0
80.39655172413794,81.84482758620689,74.45689655172414,0,0,0,0,0,0,0
80.85398230088495,83.26548672566372,75.66814159292035,0,0,0,0,0,0,0
82.51485148514851,83.4950495049505,76.85148514851485,0,0,0,0,0,0,0
82.96969696969697,84.54545454545455,78.33333333333333,0,0,0,0,0,0,0
83.97687861271676,85.02312138728324,79.98265895953757,0,0,0,0,0,0,0
85.34285714285714,85.70857142857143,80.83428571428571,0,0,0,0,0,0,0
85.95121951219512,86.46951219512195,82.46951219512195,0,0,0,0,0,0,0
86.89696969696969,86.61212121212121,84.4,0,0,0,0,0,0,0
88.70322580645161,87.56129032258065,84.75483870967741,0,0,0,0,0,0,0
91.06586826347305,87.89820359281437,85.08383233532935,0,0,0,0,0,0,0
92.40555555555555,88.01666666666667,86.68333333333334,0,0,0,0,0,0,0
94.30232558139535,88.75,86.94767441860465,0,0,0,0,0,0,0
96.95092024539878,87.93865030674847,88.15337423312883,0,0,0,0,0,0,0
96.94478527607362,88.97546012269939,90.04294478527608,0,0,0,0,0,0,0
98.11920529801324,90.60264900662251,90.25165562913908,0,0,0,0,0,0,0
103.88590604026845,89.94630872483222,88.0738255033557,0,0,0,0,0,0,0
102.35164835164835,91.21978021978022,91.44505494505495,0,0,0,0,0,0,0
110.42142857142858,89.36428571428571,88.22857142857143,0,0,0,0,0,0,0
110.57668711656441,89.83435582822086,90.51533742331289,0,0,0,0,0,0,0
114.81286549707602,89.82456140350877,89.39766081871345,0,0,0,0,0,0,0
118.18589743589743,90.6025641025641,88.1923076923077,0,0,0,0,0,0,0
125.19161676646706,88.07185628742515,86.7125748502994,0,0,0,0,0,0,0
121.24675324675324,90.43506493506493,91.28571428571429,0,0,0,0,0,0,0
120.9673202614379,91.66666666666667,93.3202614379085,0,0,0,0,0,0,0
125.96323529411765,89.6029411764706,93.38970588235294,0,0,0,0,0,0,0
125.10309278350516,90.95876288659794,95.94845360824742,0,0,0,0,0,0,0
124.68992248062015,93.31782945736434,97.10077519379846,0,0,0,0,0,0,0
124.91333333333333,94.94666666666667,98.10666666666667,0,0,0,0,0,0,0
129.8238993710692,92.9874213836478,98.23270440251572,0,0,0,0,0,0,0
130.78472222222223,93.75,99.43055555555556,0,0,0,0,0,0,0
136.8943661971831,94.38732394366197,95.73239436619718,0,0,0,0,0,0,0
139.206106870229,93.8473282442748,97.0381679389313,0,0,0,0,0,0,0
143.22627737226279,93.30656934306569,96.58394160583941,0,0,0,0,0,0,0
148.70552147239263,92.4478527607362,94.84049079754601,0,0,0,0,0,0,0
139.80434782608697,97.83333333333333,101.22463768115942,0,0,0,0,0,0,0
137.5891472868217,99.7751937984496,104.53488372093024,0,0,0,0,0,0,0
128.66666666666666,101.59770114942529,114.80459770114942,0,0,0,0,0,0,0
132.84931506849315,99.45205479452055,115.54794520547945,0,0,0,0,0,0,0
129.75,102.63461538461539,118.5576923076923,0,0,0,0,0,0,0
128.16842105263157,102.94736842105263,123.01052631578948,0,0,0,0,0,0,0
132.74444444444444,102.08888888888889,122.13333333333334,0,0,0,0,0,0,0
131.22988505747125,104.54022988505747,124.183908045977,0,0,0,0,0,0,0
130.5,105.69117647058823,126.8529411764706,0,0,0,0,0,0,0
132.66233766233765,105.66233766233766,127.76623376623377,0,0,0,0,0,0,0
135.28985507246378,104.21739130434783,129.36231884057972,0,0,0,0,0,0,0
135.84745762711864,107.27118644067797,128.89830508474577,0,0,0,0,0,0,0
138.6969696969697,111.5909090909091,124.56060606060606,0,0,0,0,0,0,0
137.0,110.01538461538462,130.86153846153846,0,0,0,0,0,0,0
142.0,109.5,129.58064516129033,0,0,0,0,0,0,0
141.88888888888889,111.76190476190476,130.47619047619048,0,0,0,0,0,0,0
142.73529411764707,109.38235294117646,134.7941176470588,0,0,0,0,0,0,0
146.0875,115.2625,128.45,0,0,0,0,0,0,0
148.04545454545453,112.34848484848484,132.4090909090909,0,0,0,0,0,0,0
148.9512195121951,115.39024390243902,131.70731707317074,0,0,0,0,0,0,0
148.78378378378378,113.14864864864865,136.95945945945945,0,0,0,0,0,0,0
149.45945945945945,118.29729729729729,134.0810810810811,0,0,0,0,0,0,0
151.28205128205127,112.3974358974359,141.17948717948718,0,0,0,0,0,0,0
151.63235294117646,113.91176470588235,142.26470588235293,0,0,0,0,0,0,0
154.54054054054055,120.33783783783784,135.74324324324326,0,0,0,0,0,0,0
155.31428571428572,116.18571428571428,142.3,0,0,0,0,0,0,0
156.4857142857143,122.48571428571428,137.97142857142856,0,0,0,0,0,0,0
161.6271186440678,125.15254237288136,133.22033898305085,0,0,0,0,0,0,0
160.35087719298247,127.87719298245614,134.59649122807016,0,0,0,0,0,0,0
159.41935483870967,127.64516129032258,138.90322580645162,0,0,0,0,0,0,0
164.72307692307692,140.23076923076923,124.33846153846154,0,0,0,0,0,0,0
162.76363636363635,134.03636363636363,135.21818181818182,0,0,0,0,0,0,0
165.17741935483872,136.8709677419355,132.98387096774192,0,0,0,0,0,0,0
166.74074074074073,143.5185185185185,127.55555555555556,0,0,0,0,0,0,0
167.32692307692307,139.90384615384616,133.84615384615384,0,0,0,0,0,0,0
166.78181818181818,135.1818181818182,141.87272727272727,0,0,0,0,0,0,0
169.578125,147.0,130.34375,0,0,0,0,0,0,0
171.73684210526315,148.98245614035088,129.3684210526316,0,0,0,0,0,0,0
175.31944444444446,150.75,127.05555555555556,0,0,0,0,0,0,0
176.22641509433961,151.47169811320754,128.41509433962264,0,0,0,0,0,0,0
177.82456140350877,156.52631578947367,124.64912280701755,0,0,0,0,0,0,0
178.4179104477612,156.1044776119403,127.59701492537313,0,0,0,0,0,0,0
179.16901408450704,157.0,128.90140845070422,0,0,0,0,0,0,0
180.6818181818182,161.0909090909091,126.27272727272727,0,0,0,0,0,0,0
182.4,159.425,129.075,0,0,0,0,0,0,0
183.74074074074073,163.82716049382717,126.67901234567901,0,0,0,0,0,0,0
185.01470588235293,165.10294117647058,126.86764705882354,0,0,0,0,0,0,0
188.94594594594594,166.25675675675674,124.8108108108108,0,0,0,0,0,0,0
186.5151515151515,165.6969696969697,130.66666666666666,0,0,0,0,0,0,0
188.33333333333334,166.16666666666666,131.5185185185185,0,0,0,0,0,0,0
191.72222222222223,169.03333333333333,128.16666666666666,0,0,0,0,0,0,0
191.58536585365854,170.58536585365854,129.82926829268294,0,0,0,0,0,0,0
191.9,168.775,134.3,0,0,0,0,0,0,0
194.04819277108433,172.06024096385542,131.83132530120483,0,0,0,0,0,0,0
195.59036144578315,173.51807228915663,131.75903614457832,0,0,0,0,0,0,0
196.37878787878788,174.6818181818182,132.83333333333334,0,0,0,0,0,0,0
198.23611111111111,175.13888888888889,133.52777777777777,0,0,0,0,0,0,0
198.87179487179486,176.37179487179486,134.71794871794873,0,0,0,0,0,0,0
201.2469135802469,177.69135802469137,134.1358024691358,0,0,0,0,0,0,0
200.6081081081081,177.6216216216216,137.67567567567568,0,0,0,0,0,0,0
