red,green,blue,red_total,green_total,blue_total,n_total,red_mean,green_mean,blue_mean
,,,0,0,0,0,,,
,,,0,0,0,0,,,
82.50148662041626,83.2763131813677,76.86144697720515,416220,420129,387766,5045,82.50148662041626,83.2763131813677,76.86144697720515
129.43960496328185,93.69460622942518,102.2236009116232,511157,370000,403681,3949,129.43960496328185,93.69460622942518,102.2236009116232
162.7504816955684,133.77167630057804,135.27842003853564,337870,277710,280838,2076,162.7504816955684,133.77167630057804,135.27842003853564
205.20421860019175,183.33221476510067,132.4031639501438,428056,382431,276193,2086,205.20421860019175,183.33221476510067,132.4031639501438
221.00964630225081,208.77170418006432,212.47106109324758,274936,259712,264314,1244,221.00964630225081,208.77170418006432,212.47106109324758
,,,0,0,0,0,,,
