red,green,blue,red_shift,green_shift,blue_shift
0.0,0.0,0.0,0,0,0
17.066666666666666,17.066666666666666,17.066666666666666,0,0,0
34.13333333333333,34.13333333333333,34.13333333333333,0,0,0
51.2,51.2,51.2,0,0,0
68.26666666666667,68.26666666666667,68.26666666666667,0,0,0
85.33333333333333,85.33333333333333,85.33333333333333,0,0,0
102.4,102.4,102.4,0,0,0
119.46666666666667,119.46666666666667,119.46666666666667,0,0,0
136.53333333333333,136.53333333333333,136.53333333333333,0,0,0
153.6,153.6,153.6,0,0,0
170.66666666666666,170.66666666666666,170.66666666666666,0,0,0
187.73333333333332,187.73333333333332,187.73333333333332,0,0,0
204.8,204.8,204.8,0,0,0
221.86666666666667,221.86666666666667,221.86666666666667,0,0,0
238.93333333333334,238.93333333333334,238.93333333333334,0,0,0
256.0,256.0,256.0,0,0,0
